run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf1_q1,tpch,1,q1,gpu,1000,4,8.2,17.63,216,174,160.1,165.1,7179,94.0,94,0.6,117.5,1.8,0.5,OK
tpch_sf1_q2,tpch,1,q2,gpu,834,2,10.7,16.04,203,171,96.8,101.8,4199,90.5,92,0.2,119.0,1.8,0.2,OK
tpch_sf1_q3,tpch,1,q3,gpu,1429,2,5.4,22.55,275,272,133.9,145.4,7203,86.9,95,0.3,117.8,1.8,0.2,OK
tpch_sf1_q4,tpch,1,q4,gpu,2000,1,4.5,23.68,278,239,153.8,166.2,6965,94.7,95,0.2,119.2,1.8,0.1,OK
tpch_sf1_q5,tpch,1,q5,gpu,1112,2,2.1,11.91,138,105,175.3,178.8,7051,87.2,88,0.4,119.7,1.8,0.2,OK
tpch_sf1_q6,tpch,1,q6,gpu,10000,0,1.6,88.78,1079,1042,163.5,171.4,7489,91.2,95,0.0,117.4,1.8,0.0,OK
tpch_sf1_q7,tpch,1,q7,gpu,1667,2,8.9,36.44,456,394,137.2,141.2,7307,92.5,94,0.3,118.3,1.8,0.2,OK
tpch_sf1_q8,tpch,1,q8,gpu,1429,2,7.6,29.92,375,337,141.6,144.2,7253,92.3,93,0.3,117.9,1.8,0.2,OK
tpch_sf1_q9,tpch,1,q9,gpu,3334,3,9.4,67.06,832,831,154.5,161.8,7259,88.3,95,0.5,118.1,1.8,0.4,OK
tpch_sf1_q10,tpch,1,q10,gpu,715,2,8.5,15.79,196,140,140.5,144.4,7293,93.2,94,0.3,117.9,1.8,0.2,OK
tpch_sf1_q11,tpch,1,q11,gpu,500,2,9.0,8.79,108,106,117.9,135.3,4347,80.2,94,0.2,120.7,1.9,0.2,OK
tpch_sf1_q12,tpch,1,q12,gpu,500,1,7.6,11.46,144,41,140.7,144.0,7271,91.0,91,0.1,117.6,1.8,0.1,OK
tpch_sf1_q13,tpch,1,q13,gpu,182,14,26.6,7.95,96,95,161.8,207.1,4367,73.7,96,2.3,119.3,1.8,1.7,OK
tpch_sf1_q14,tpch,1,q14,gpu,834,1,7.9,15.53,195,160,135.7,138.1,7313,91.8,94,0.1,117.6,1.8,0.1,OK
tpch_sf1_q15,tpch,1,q15,gpu,1250,1,6.3,19.37,239,202,138.4,142.7,7285,91.2,94,0.1,118.9,1.8,0.1,OK
tpch_sf1_q16,tpch,1,q16,gpu,176,18,33.7,9.61,119,84,114.1,118.4,4339,94.8,95,2.1,117.0,1.8,2.1,OK
tpch_sf1_q17,tpch,1,q17,gpu,218,3,14.3,7.68,94,61,127.0,129.9,7295,91.8,94,0.4,119.1,1.8,0.4,OK
tpch_sf1_q18,tpch,1,q18,gpu,1000,3,8.8,19.94,247,208,152.5,155.7,7307,93.8,94,0.5,119.1,1.8,0.4,OK
tpch_sf1_q19,tpch,1,q19,gpu,385,16,31.1,20.34,252,186,179.0,185.8,7245,94.1,95,2.9,117.2,1.8,1.9,OK
tpch_sf1_q20,tpch,1,q20,gpu,3334,3,13.5,79.40,997,996,130.9,136.3,7293,89.9,95,0.4,118.5,1.8,0.4,OK
tpch_sf1_q21,tpch,1,q21,gpu,96,69,106.4,13.93,175,128,184.0,187.8,13209,95.2,96,12.7,118.9,1.8,8.2,OK
tpch_sf1_q22,tpch,1,q22,gpu,667,2,10.8,15.50,195,141,109.8,111.5,4371,89.4,93,0.2,119.3,1.8,0.2,OK
