run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf2gb_q1,h2o,2gb,q1,gpu,1429,2,10.1,31.75,389,345,112.0,117.1,7870,93.5,95,0.2,126.7,1.8,0.3,OK
h2o_sf2gb_q2,h2o,2gb,q2,gpu,455,4,16.0,15.24,186,186,102.4,113.1,7922,89.8,95,0.4,127.8,1.8,0.5,OK
h2o_sf2gb_q3,h2o,2gb,q3,gpu,667,7,18.5,22.91,285,284,109.6,117.2,7810,87.8,95,0.8,125.9,1.8,0.9,OK
h2o_sf2gb_q4,h2o,2gb,q4,gpu,1429,3,7.7,30.38,372,345,114.5,120.1,7896,93.3,96,0.3,127.0,1.8,0.4,OK
h2o_sf2gb_q5,h2o,2gb,q5,gpu,770,6,14.5,22.87,281,258,115.3,121.4,7920,91.4,95,0.7,128.4,1.8,0.8,OK
h2o_sf2gb_q6,h2o,2gb,q6,gpu,19,477,619.1,15.10,187,187,111.8,126.3,7932,86.4,96,53.3,127.4,1.8,60.8,OK
h2o_sf2gb_q7,h2o,2gb,q7,gpu,910,3,12.1,24.42,300,271,118.1,125.6,7772,92.9,96,0.4,128.9,1.8,0.4,OK
h2o_sf2gb_q9,h2o,2gb,q9,gpu,500,10,21.2,20.41,252,229,107.6,111.0,7952,92.7,94,1.1,127.0,1.8,1.3,OK
h2o_sf2gb_q10,h2o,2gb,q10,gpu,295,13,32.4,15.55,192,169,116.0,121.7,7886,88.9,94,1.5,127.2,1.8,1.7,OK
