run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf1_cpu_q1,tpch,1,q1,cpu,100,37.706,39.0,34.06,270,270,73.6,104.7,40815,11.0,100,2.8,0.0,0.0,0.0,OK
tpch_sf1_cpu_q3,tpch,1,q3,cpu,100,20.925,21.7,36.52,302,302,71.5,94.6,40815,4.5,100,1.5,0.0,0.0,0.0,OK
tpch_sf1_cpu_q6,tpch,1,q6,cpu,100,15.842,54.7,35.61,291,291,71.6,93.1,40811,4.2,100,1.1,0.0,0.0,0.0,OK
tpch_sf5_cpu_q1,tpch,5,q1,cpu,54,175.706,185.5,99.97,819,818,81.2,186.4,40815,7.7,100,14.3,0.0,0.0,0.0,OK
tpch_sf5_cpu_q3,tpch,5,q3,cpu,91,99.404,102.5,162.25,1317,1298,70.5,94.3,40853,3.6,100,7.0,0.0,0.0,0.0,OK
tpch_sf5_cpu_q6,tpch,5,q6,cpu,100,77.094,130.0,175.34,1429,1428,70.3,90.4,40811,2.8,100,5.4,0.0,0.0,0.0,OK
tpch_sf10_cpu_q1,tpch,10,q1,cpu,28,353.945,400.7,139.65,1153,1129,77.6,186.7,40815,5.1,100,27.5,0.0,0.0,0.0,OK
tpch_sf10_cpu_q3,tpch,10,q3,cpu,50,195.905,212.5,225.51,1871,1866,71.5,108.1,40853,2.7,100,14.0,0.0,0.0,0.0,OK
tpch_sf10_cpu_q6,tpch,10,q6,cpu,66,152.152,197.4,206.78,1684,1671,70.2,88.0,40811,3.3,100,10.7,0.0,0.0,0.0,OK
tpch_sf20_cpu_q1,tpch,20,q1,cpu,15,704.18,774.5,209.33,1737,1698,74.1,276.7,40815,3.6,100,52.2,0.0,0.0,0.0,OK
tpch_sf20_cpu_q3,tpch,20,q3,cpu,26,383.162,511.5,407.80,3092,3045,71.2,183.7,40853,1.8,100,27.3,0.0,0.0,0.0,OK
tpch_sf20_cpu_q6,tpch,20,q6,cpu,22,302.529,392.4,238.29,1924,1902,71.3,88.6,40811,1.8,100,21.6,0.0,0.0,0.0,OK
h2o_sf1gb_cpu_q1,h2o,1gb,q1,cpu,100,75.834,79.0,75.67,611,596,70.6,96.4,40813,5.8,100,5.4,0.0,0.0,0.0,OK
h2o_sf1gb_cpu_q3,h2o,1gb,q3,cpu,31,318.695,346.4,45.71,388,294,86.8,207.9,40819,12.2,100,27.7,0.0,0.0,0.0,OK
h2o_sf1gb_cpu_q5,h2o,1gb,q5,cpu,100,88.528,92.7,81.10,666,649,70.9,110.2,40817,5.8,100,6.3,0.0,0.0,0.0,OK
h2o_sf2gb_cpu_q1,h2o,2gb,q1,cpu,64,149.806,157.6,103.22,851,831,70.5,102.7,40813,5.9,100,10.6,0.0,0.0,0.0,OK
h2o_sf2gb_cpu_q3,h2o,2gb,q3,cpu,21,473.253,553.3,58.15,485,354,87.2,208.8,40819,11.9,100,41.3,0.0,0.0,0.0,OK
h2o_sf2gb_cpu_q5,h2o,2gb,q5,cpu,56,179.459,186.3,104.26,872,722,70.6,127.8,40817,6.5,100,12.7,0.0,0.0,0.0,OK
h2o_sf3gb_cpu_q1,h2o,3gb,q1,cpu,44,217.938,233.3,114.78,966,951,77.3,147.1,40813,5.1,100,16.9,0.0,0.0,0.0,OK
h2o_sf3gb_cpu_q3,h2o,3gb,q3,cpu,17,678.974,785.5,83.43,696,678,77.7,179.8,40819,6.3,100,52.8,0.0,0.0,0.0,OK
h2o_sf3gb_cpu_q5,h2o,3gb,q5,cpu,39,259.746,272.0,100.78,823,804,77.2,201.1,40817,5.7,100,20.0,0.0,0.0,0.0,OK
h2o_sf4gb_cpu_q1,h2o,4gb,q1,cpu,33,299.976,313.6,130.97,1094,859,77.0,120.4,40813,5.8,100,23.1,0.0,0.0,0.0,OK
h2o_sf4gb_cpu_q3,h2o,4gb,q3,cpu,12,840.053,1148.5,95.51,795,788,75.0,201.9,40819,4.6,100,63.0,0.0,0.0,0.0,OK
h2o_sf4gb_cpu_q5,h2o,4gb,q5,cpu,28,358.103,371.0,130.17,1053,1033,75.2,145.7,40817,4.5,100,26.9,0.0,0.0,0.0,OK
microbench_tpch_sf1_cpu_w1_002,microbench_tpch,1,w1_002,cpu,100,1.995,10.6,10.87,80,80,74.1,90.0,40811,8.9,100,0.1,0.0,0.0,0.0,OK
microbench_tpch_sf1_cpu_w3_001,microbench_tpch,1,w3_001,cpu,100,0.778,1.1,7.65,54,54,74.7,92.8,40815,9.8,100,0.1,0.0,0.0,0.0,OK
microbench_tpch_sf1_cpu_w5a_029,microbench_tpch,1,w5a_029,cpu,100,4.782,5.5,14.40,105,20,75.8,92.5,40813,28.1,100,0.4,0.0,0.0,0.0,OK
microbench_tpch_sf5_cpu_w1_002,microbench_tpch,5,w1_002,cpu,100,8.55,41.9,41.73,332,332,70.4,90.7,40811,4.0,100,0.6,0.0,0.0,0.0,OK
microbench_tpch_sf5_cpu_w3_001,microbench_tpch,5,w3_001,cpu,100,2.319,2.9,17.52,125,6,86.1,87.4,451,88.7,100,0.2,0.0,0.0,0.0,OK
microbench_tpch_sf5_cpu_w5a_029,microbench_tpch,5,w5a_029,cpu,100,20.787,21.7,45.11,327,327,71.1,100.2,40813,4.7,100,1.5,0.0,0.0,0.0,OK
microbench_tpch_sf10_cpu_w1_002,microbench_tpch,10,w1_002,cpu,100,19.57,76.2,90.44,712,707,69.8,91.0,40811,1.9,100,1.4,0.0,0.0,0.0,OK
microbench_tpch_sf10_cpu_w3_001,microbench_tpch,10,w3_001,cpu,100,4.108,4.6,26.85,205,183,70.4,87.7,40815,4.1,100,0.3,0.0,0.0,0.0,OK
microbench_tpch_sf10_cpu_w5a_029,microbench_tpch,10,w5a_029,cpu,100,48.902,50.7,90.10,707,702,71.6,121.4,40813,4.6,100,3.5,0.0,0.0,0.0,OK
microbench_tpch_sf20_cpu_w1_002,microbench_tpch,20,w1_002,cpu,100,38.342,111.6,157.95,1270,1265,69.7,87.4,40811,2.2,100,2.7,0.0,0.0,0.0,OK
microbench_tpch_sf20_cpu_w3_001,microbench_tpch,20,w3_001,cpu,100,7.775,11.4,49.26,363,105,73.0,89.5,40815,8.9,100,0.6,0.0,0.0,0.0,OK
microbench_tpch_sf20_cpu_w5a_029,microbench_tpch,20,w5a_029,cpu,100,96.483,102.8,158.19,1249,974,73.2,159.9,40813,5.6,100,7.1,0.0,0.0,0.0,OK
microbench_h2o_sf1gb_cpu_w1_001,microbench_h2o,1gb,w1_001,cpu,100,15.306,78.3,76.83,634,629,69.6,89.8,40811,2.2,100,1.1,0.0,0.0,0.0,OK
microbench_h2o_sf1gb_cpu_w3_016,microbench_h2o,1gb,w3_016,cpu,100,73.872,81.7,73.33,593,573,70.6,95.8,40813,6.0,100,5.2,0.0,0.0,0.0,OK
microbench_h2o_sf1gb_cpu_w6_022,microbench_h2o,1gb,w6_022,cpu,88,110.362,114.1,70.74,564,563,75.8,193.3,40809,8.8,100,8.4,0.0,0.0,0.0,OK
microbench_h2o_sf2gb_cpu_w1_001,microbench_h2o,2gb,w1_001,cpu,100,30.777,136.5,148.05,1176,1170,69.6,87.1,40811,1.3,100,2.1,0.0,0.0,0.0,OK
microbench_h2o_sf2gb_cpu_w3_016,microbench_h2o,2gb,w3_016,cpu,66,150.449,156.8,103.68,847,846,70.5,99.1,40813,5.6,100,10.6,0.0,0.0,0.0,OK
microbench_h2o_sf2gb_cpu_w6_022,microbench_h2o,2gb,w6_022,cpu,46,217.912,226.9,86.20,697,669,88.5,273.7,40809,7.8,100,19.3,0.0,0.0,0.0,OK
microbench_h2o_sf3gb_cpu_w1_001,microbench_h2o,3gb,w1_001,cpu,100,45.48,86.4,196.85,1632,1628,69.6,90.7,40811,1.5,100,3.2,0.0,0.0,0.0,OK
microbench_h2o_sf3gb_cpu_w3_016,microbench_h2o,3gb,w3_016,cpu,44,221.122,233.7,115.58,974,956,76.3,114.7,40813,4.5,100,16.9,0.0,0.0,0.0,OK
microbench_h2o_sf3gb_cpu_w6_022,microbench_h2o,3gb,w6_022,cpu,30,335.492,360.5,106.81,899,876,82.1,260.5,40809,6.4,100,27.6,0.0,0.0,0.0,OK
microbench_h2o_sf4gb_cpu_w1_001,microbench_h2o,4gb,w1_001,cpu,100,62.499,118.8,279.15,2319,2315,69.5,90.7,40811,1.3,100,4.3,0.0,0.0,0.0,OK
microbench_h2o_sf4gb_cpu_w3_016,microbench_h2o,4gb,w3_016,cpu,33,303.022,318.5,133.12,1074,1070,74.8,134.7,40813,3.5,100,22.7,0.0,0.0,0.0,OK
microbench_h2o_sf4gb_cpu_w6_022,microbench_h2o,4gb,w6_022,cpu,23,442.332,456.6,117.45,969,945,80.8,291.4,40809,5.9,100,35.8,0.0,0.0,0.0,OK
