run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf5_cpu_q6,tpch,5,q6,cpu,129,75,76.8,144.73,1921,1632,51.8,53.7,3441,2.2,19,3.9,113.1,2.9,8.5,OK
tpch_sf5_cpu_q7,tpch,5,q7,cpu,91,110,113.2,137.83,1839,1519,51.9,53.3,3445,3.0,26,5.7,112.4,2.9,12.4,OK
tpch_sf5_cpu_q8,tpch,5,q8,cpu,77,128,133.4,127.04,1692,1692,51.8,53.5,3445,1.9,31,6.6,113.3,2.7,14.5,OK
tpch_sf5_cpu_q9,tpch,5,q9,cpu,63,159,163.7,111.36,1483,1028,52.9,54.9,3447,3.9,40,8.4,112.5,2.9,17.9,OK
tpch_sf5_cpu_q10,tpch,5,q10,cpu,95,104,107.2,138.89,1852,1578,51.6,53.1,3447,2.3,22,5.4,112.4,2.9,11.7,OK
tpch_sf5_cpu_q11,tpch,5,q11,cpu,159,63,64.2,41.97,549,429,59.3,64.2,3449,9.2,19,3.7,113.4,3.0,7.1,OK
tpch_sf5_cpu_q12,tpch,5,q12,cpu,23,448,451.8,56.62,750,726,51.8,54.0,3445,4.8,23,23.2,115.0,2.7,51.5,OK
tpch_sf5_cpu_q13,tpch,5,q13,cpu,61,164,165.4,40.31,527,363,85.0,100.4,6639,9.9,63,13.9,112.3,2.6,18.4,OK
tpch_sf5_cpu_q14,tpch,5,q14,cpu,26,381,386.9,53.57,709,441,52.0,53.4,3441,5.2,22,19.8,112.7,2.9,42.9,OK
tpch_sf5_cpu_q15,tpch,5,q15,cpu,27,368,375.6,55.37,736,688,51.7,53.5,3447,3.7,22,19.0,114.8,2.7,42.2,OK
tpch_sf5_cpu_q16,tpch,5,q16,cpu,96,103,104.6,39.05,512,352,66.2,74.3,3441,16.8,46,6.8,113.1,2.9,11.7,OK
tpch_sf5_cpu_q17,tpch,5,q17,cpu,24,414,429.0,52.46,694,646,53.1,56.5,6559,3.4,77,22.0,-5314.9,2.7,-2200.4,OK
tpch_sf5_cpu_q18,tpch,5,q18,cpu,20,499,508.5,53.76,711,439,54.1,56.9,6559,6.5,76,27.0,112.4,2.8,56.1,OK
tpch_sf5_cpu_q19,tpch,5,q19,cpu,21,484,491.3,50.26,668,355,63.8,72.0,14333,9.9,90,30.9,112.5,2.7,54.5,OK
tpch_sf5_cpu_q20,tpch,5,q20,cpu,23,441,453.0,58.15,772,568,52.1,54.3,3445,5.4,23,23.0,112.4,2.8,49.6,OK
tpch_sf10_cpu_q1,tpch,10,q1,cpu,35,284,290.3,111.55,1470,1407,51.1,60.0,12781,3.0,49,14.5,114.4,2.7,32.5,OK
tpch_sf10_cpu_q2,tpch,10,q2,cpu,286,33,34.0,166.85,2221,1972,51.3,52.3,3445,1.9,9,1.7,112.0,2.6,3.7,OK
tpch_sf10_cpu_q3,tpch,10,q3,cpu,51,192,197.5,160.88,2134,1678,49.4,54.3,3447,1.6,29,9.5,113.9,2.8,21.9,OK
tpch_sf10_cpu_q4,tpch,10,q4,cpu,79,124,128.4,204.45,2711,2241,52.0,53.8,3445,1.0,26,6.4,112.8,3.1,14.0,OK
tpch_sf10_cpu_q5,tpch,10,q5,cpu,46,214,218.3,154.20,2046,1654,52.6,56.0,3445,2.5,57,11.2,112.5,2.8,24.1,OK
tpch_sf10_cpu_q6,tpch,10,q6,cpu,65,151,153.9,155.88,2067,1692,52.1,53.6,3441,2.0,25,7.9,112.5,3.0,17.0,OK
tpch_sf10_cpu_q7,tpch,10,q7,cpu,46,221,226.0,160.95,2132,1519,52.4,54.9,3445,2.1,29,11.6,112.5,2.8,24.9,OK
tpch_sf10_cpu_q8,tpch,10,q8,cpu,40,255,262.9,143.16,1898,1378,52.2,54.8,3445,2.0,61,13.3,113.2,2.8,28.9,OK
tpch_sf10_cpu_q9,tpch,10,q9,cpu,32,320,331.6,147.97,1962,1774,50.4,58.9,6559,2.4,60,16.1,114.1,2.6,36.5,OK
tpch_sf10_cpu_q10,tpch,10,q10,cpu,49,206,213.2,149.68,1978,1940,50.5,54.6,3447,2.0,27,10.4,114.4,2.8,23.6,OK
tpch_sf10_cpu_q11,tpch,10,q11,cpu,76,126,131.0,58.09,765,524,58.3,65.3,6561,8.4,37,7.3,113.3,2.6,14.3,OK
tpch_sf10_cpu_q12,tpch,10,q12,cpu,12,908,950.2,89.42,1175,756,52.5,57.8,3445,3.6,35,47.7,112.3,2.4,102.0,OK
tpch_sf10_cpu_q13,tpch,10,q13,cpu,29,349,353.8,47.94,629,410,91.1,119.9,14313,24.6,85,31.8,112.5,2.5,39.3,OK
tpch_sf10_cpu_q14,tpch,10,q14,cpu,13,761,782.5,79.19,1039,714,52.5,57.6,3443,4.4,22,40.0,-4886.4,2.4,-3718.6,OK
tpch_sf10_cpu_q15,tpch,10,q15,cpu,14,735,758.3,75.00,984,667,52.8,57.5,3447,3.3,23,38.8,111.5,2.6,82.0,OK
tpch_sf10_cpu_q16,tpch,10,q16,cpu,46,212,215.2,52.46,691,439,73.5,91.0,6553,13.1,94,15.6,112.5,2.5,23.8,OK
tpch_sf10_cpu_q17,tpch,10,q17,cpu,12,829,1723.6,101.72,1322,649,55.2,63.3,12843,4.8,100,45.8,114.8,2.3,95.1,OK
tpch_sf10_cpu_q18,tpch,10,q18,cpu,10,1015,1980.9,95.16,1205,767,55.5,65.4,12843,4.6,100,56.3,112.9,2.4,114.6,OK
h2o_sf1gb_cpu_q1,h2o,1gb,q1,cpu,910,11,11.7,93.81,1234,1218,54.7,55.9,3443,3.0,6,0.6,113.4,3.3,1.2,OK
h2o_sf1gb_cpu_q2,h2o,1gb,q2,cpu,527,19,19.2,58.59,770,724,56.3,57.3,3443,5.3,11,1.1,113.3,3.4,2.2,OK
h2o_sf1gb_cpu_q3,h2o,1gb,q3,cpu,477,21,21.9,55.78,732,673,58.3,60.0,3447,6.4,11,1.2,113.6,3.4,2.4,OK
h2o_sf1gb_cpu_q4,h2o,1gb,q4,cpu,556,18,18.9,61.70,809,764,56.0,56.7,3445,5.0,8,1.0,113.5,3.4,2.0,OK
h2o_sf1gb_cpu_q5,h2o,1gb,q5,cpu,527,20,20.4,59.04,773,731,58.3,59.6,3445,6.8,12,1.2,113.1,3.4,2.3,OK
h2o_sf1gb_cpu_q6,h2o,1gb,q6,cpu,69,145,146.7,22.22,287,171,135.7,147.1,3441,49.2,100,19.7,111.1,2.4,16.1,OK
h2o_sf1gb_cpu_q7,h2o,1gb,q7,cpu,625,16,16.5,69.07,905,856,57.2,59.9,3447,4.8,8,0.9,113.7,3.4,1.8,OK
h2o_sf1gb_cpu_q9,h2o,1gb,q9,cpu,500,20,20.2,55.88,729,677,57.2,58.8,3445,6.9,10,1.1,114.3,3.4,2.3,OK
h2o_sf1gb_cpu_q10,h2o,1gb,q10,cpu,209,47,48.7,35.30,462,375,58.7,60.2,3447,9.7,20,2.8,113.7,3.2,5.3,OK
h2o_sf2gb_cpu_q1,h2o,2gb,q1,cpu,435,23,23.2,94.14,1242,1153,53.7,55.3,3443,3.2,7,1.2,113.6,3.3,2.6,OK
h2o_sf2gb_cpu_q2,h2o,2gb,q2,cpu,257,38,38.5,66.68,878,854,54.1,56.0,3443,4.4,11,2.1,113.4,3.1,4.3,OK
h2o_sf2gb_cpu_q3,h2o,2gb,q3,cpu,239,41,42.6,65.97,869,801,55.3,58.1,3447,4.5,18,2.3,113.1,3.1,4.6,OK
