run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf1_cpu_q1,tpch,1,q1,cpu,1000,1.169,1.3,5.76,67,66,62.9,66.9,40772,37.8,100,0.1,0.0,0.0,0.0,OK
tpch_sf1_cpu_q3,tpch,1,q3,cpu,1000,1.001,1.1,5.54,66,31,63.5,65.9,40772,54.2,100,0.1,0.0,0.0,0.0,OK
tpch_sf1_cpu_q6,tpch,1,q6,cpu,1000,0.569,0.7,5.04,57,20,62.8,65.8,40768,47.5,100,0.0,0.0,0.0,0.0,OK
tpch_sf5_cpu_q1,tpch,5,q1,cpu,79,122.411,127.6,107.40,1481,1227,66.2,165.0,40772,11.3,100,8.1,0.0,0.0,0.0,OK
tpch_sf5_cpu_q3,tpch,5,q3,cpu,169,58.158,59.4,234.81,3260,3210,61.6,107.3,40810,4.2,100,3.6,0.0,0.0,0.0,OK
tpch_sf5_cpu_q6,tpch,5,q6,cpu,221,44.391,45.4,240.20,3330,3284,61.5,77.3,40768,3.8,100,2.7,0.0,0.0,0.0,OK
tpch_sf10_cpu_q1,tpch,10,q1,cpu,41,244.957,256.7,126.05,1729,1281,66.3,193.4,40772,11.2,100,16.3,0.0,0.0,0.0,OK
tpch_sf10_cpu_q3,tpch,10,q3,cpu,86,117.442,120.4,239.35,3308,3229,61.5,130.3,40810,4.1,100,7.2,0.0,0.0,0.0,OK
tpch_sf10_cpu_q6,tpch,10,q6,cpu,112,87.583,90.2,242.51,3374,3310,61.3,78.5,40766,4.0,100,5.4,0.0,0.0,0.0,OK
tpch_sf20_cpu_q1,tpch,20,q1,cpu,20,496.219,554.1,192.15,2646,1803,64.7,278.6,40772,7.7,100,32.1,0.0,0.0,0.0,OK
tpch_sf20_cpu_q3,tpch,20,q3,cpu,40,233.579,237.2,344.17,4770,4733,61.3,161.3,40810,2.6,100,14.3,0.0,0.0,0.0,OK
tpch_sf20_cpu_q6,tpch,20,q6,cpu,58,174.248,179.1,356.31,4932,4896,61.3,78.7,40768,2.6,100,10.7,0.0,0.0,0.0,OK
h2o_sf1gb_cpu_q1,h2o,1gb,q1,cpu,180,55.469,62.8,109.25,1508,1372,62.6,105.1,40770,7.1,100,3.5,0.0,0.0,0.0,OK
h2o_sf1gb_cpu_q3,h2o,1gb,q3,cpu,35,289.667,326.1,46.13,625,487,67.8,181.7,40776,13.5,100,19.6,0.0,0.0,0.0,OK
h2o_sf1gb_cpu_q5,h2o,1gb,q5,cpu,138,70.444,85.1,93.66,1274,1137,63.0,125.4,40774,7.5,100,4.4,0.0,0.0,0.0,OK
