run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf1_cpu_q1,tpch,1,q1,cpu,358,28,28.4,79.56,1052,977,53.5,54.8,3445,4.7,9,1.5,112.0,3.0,3.1,OK
tpch_sf1_cpu_q2,tpch,1,q2,cpu,1667,5,6.0,65.12,861,809,52.4,52.7,3445,5.7,11,0.3,112.5,3.3,0.6,OK
tpch_sf1_cpu_q3,tpch,1,q3,cpu,500,20,20.2,113.68,1511,1461,51.5,52.2,3445,2.5,6,1.0,112.4,3.2,2.2,OK
tpch_sf1_cpu_q4,tpch,1,q4,cpu,770,13,13.1,158.20,2106,2028,51.7,52.2,3445,1.9,4,0.7,-1629.8,3.3,-21.2,OK
tpch_sf1_cpu_q5,tpch,1,q5,cpu,435,22,22.2,102.52,1361,1293,52.6,53.4,3445,2.8,6,1.2,112.2,3.2,2.5,OK
tpch_sf1_cpu_q6,tpch,1,q6,cpu,667,15,15.3,134.68,1793,1722,51.7,52.3,3441,2.2,4,0.8,112.1,3.0,1.7,OK
tpch_sf1_cpu_q7,tpch,1,q7,cpu,435,23,23.4,104.01,1380,1310,52.4,53.0,3445,2.7,12,1.2,113.0,3.2,2.6,OK
tpch_sf1_cpu_q8,tpch,1,q8,cpu,371,26,27.0,101.01,1340,1251,52.3,53.1,3445,2.7,12,1.4,112.6,3.1,2.9,OK
tpch_sf1_cpu_q9,tpch,1,q9,cpu,304,32,33.3,92.79,1235,1157,53.6,54.5,3447,3.2,10,1.7,111.7,3.1,3.6,OK
tpch_sf1_cpu_q10,tpch,1,q10,cpu,455,22,22.2,104.39,1386,1320,52.6,53.3,3447,2.6,6,1.2,112.3,3.3,2.5,OK
tpch_sf1_cpu_q11,tpch,1,q11,cpu,715,13,14.2,31.05,403,347,62.4,63.6,3447,11.6,13,0.8,113.1,3.4,1.5,OK
tpch_sf1_cpu_q12,tpch,1,q12,cpu,109,90,92.2,38.73,511,446,53.4,54.2,3445,6.4,22,4.8,112.1,3.2,10.1,OK
tpch_sf1_cpu_q13,tpch,1,q13,cpu,304,32,32.8,30.40,395,340,89.5,96.2,3447,20.4,34,2.9,111.9,3.0,3.6,OK
tpch_sf1_cpu_q14,tpch,1,q14,cpu,129,77,78.1,41.91,555,551,54.2,71.0,3441,5.7,26,4.2,112.4,2.9,8.7,OK
tpch_sf1_cpu_q15,tpch,1,q15,cpu,132,74,75.5,41.12,543,471,54.6,55.4,3447,6.6,17,4.0,112.0,3.0,8.3,OK
tpch_sf1_cpu_q16,tpch,1,q16,cpu,313,32,32.2,25.24,329,271,68.9,71.5,3441,31.2,41,2.2,112.4,2.9,3.6,OK
tpch_sf1_cpu_q17,tpch,1,q17,cpu,125,78,79.9,41.12,545,449,54.8,55.6,3445,6.5,18,4.3,111.4,3.0,8.7,OK
tpch_sf1_cpu_q18,tpch,1,q18,cpu,105,94,95.2,38.14,505,439,55.9,57.1,3447,7.7,23,5.3,111.3,3.2,10.5,OK
tpch_sf1_cpu_q19,tpch,1,q19,cpu,109,92,94.7,37.19,492,428,66.9,72.5,3443,11.2,32,6.2,110.5,3.0,10.2,OK
tpch_sf1_cpu_q20,tpch,1,q20,cpu,109,90,92.0,40.30,534,454,55.6,56.7,3445,7.3,21,5.0,111.2,3.1,10.0,OK
tpch_sf1_cpu_q21,tpch,1,q21,cpu,68,147,150.3,31.04,408,330,83.7,96.9,6561,18.5,64,12.3,110.5,2.9,16.3,OK
tpch_sf1_cpu_q22,tpch,1,q22,cpu,477,20,20.7,37.90,498,436,56.4,57.2,3447,6.9,15,1.1,110.9,3.2,2.2,OK
tpch_sf2_cpu_q1,tpch,2,q1,cpu,173,57,58.0,83.26,1114,1001,58.0,61.0,3445,4.1,20,3.3,111.0,2.9,6.3,OK
tpch_sf2_cpu_q2,tpch,2,q2,cpu,1112,9,9.1,88.30,1171,1060,55.6,56.2,3445,4.2,6,0.5,112.1,3.3,1.0,OK
tpch_sf2_cpu_q3,tpch,2,q3,cpu,250,39,39.6,133.98,1797,1729,55.2,56.6,3445,2.3,12,2.2,111.6,2.9,4.4,OK
tpch_sf2_cpu_q4,tpch,2,q4,cpu,385,25,25.6,182.72,2447,2415,54.9,56.0,3445,1.4,7,1.4,111.7,3.0,2.8,OK
tpch_sf2_cpu_q5,tpch,2,q5,cpu,223,42,44.4,122.13,1633,1456,55.5,57.0,3445,3.0,12,2.3,114.7,3.0,4.8,OK
tpch_sf2_cpu_q6,tpch,2,q6,cpu,323,30,30.7,140.58,1884,1834,54.7,55.6,3441,1.7,8,1.6,111.7,2.9,3.4,OK
tpch_sf2_cpu_q7,tpch,2,q7,cpu,218,45,46.0,120.75,1615,1416,55.4,56.6,3445,3.1,12,2.5,111.8,3.0,5.0,OK
tpch_sf2_cpu_q8,tpch,2,q8,cpu,189,51,53.4,110.91,1486,1339,55.2,56.3,3445,2.1,13,2.8,111.7,3.0,5.7,OK
tpch_sf2_cpu_q9,tpch,2,q9,cpu,152,64,66.5,98.77,1319,1126,56.2,57.8,3447,3.0,18,3.6,112.1,3.0,7.2,OK
