engine,benchmark,sf,query,storage,n_reps,min_s,avg_power_w,avg_gpu_util,max_mem_mb,num_steady_samples,gpu_energy_j,gpu_energy_derived_j,avg_cpu_pkg_w,cpu_energy_j,cpu_energy_derived_j,total_energy_j,status,source_file
maximus,tpch,1,q9,cpu,304,0.032,53.6,3.2,3447.0,1157,0.0,1.7152,111.7,3.6,3.5744,3.6,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q1,cpu,41,0.244957,66.3,11.2,40772.0,1281,0.0,16.2406,0.0,0.0,0.0,0.0,OK,maximus_cpu_data_metrics_summary_20260316_115748.csv
maximus,tpch,10,q10,cpu,44,0.261,183.5,70.4,15802.0,2130,0.0,47.8935,132.6,34.6,34.6086,34.6,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q11,cpu,72,0.129,184.8,68.3,9724.0,818,0.0,23.8392,135.4,17.5,17.4666,17.5,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q12,cpu,11,1.182,183.5,72.6,7662.0,1089,0.0,216.897,134.0,158.4,158.388,158.4,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q13,cpu,26,0.495,192.0,86.7,14510.0,620,0.0,95.04,136.0,67.3,67.32,67.3,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q14,cpu,13,1.003,183.3,74.3,7658.0,1063,0.0,183.8499,134.3,134.7,134.7029,134.7,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q15,cpu,13,0.91,183.4,75.5,7666.0,991,0.0,166.894,134.3,122.2,122.213,122.2,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q16,cpu,41,0.275,186.9,81.9,11192.0,653,0.0,51.3975,136.4,37.5,37.51,37.5,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q17,cpu,12,0.0,182.8,80.6,15704.0,624,0.0,0.0,137.3,0.0,0.0,0.0,FAIL,maximus_cpu_data_metrics_summary_20260302_133558.csv
