run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
microbench_h2o_sf1gb_w1_001,microbench_h2o,1gb,w1_001,3,0.0000,0.0005,45.54,571,571,61.0,66.5,80544,4.8,100,0.00,0.0,0.0,0.00,OK
microbench_h2o_sf1gb_w3_016,microbench_h2o,1gb,w3_016,1000,0.0150,0.0168,53.63,664,664,68.7,125.7,81048,14.6,100,1.03,0.0,0.0,0.00,OK
microbench_h2o_sf1gb_w6_022,microbench_h2o,1gb,w6_022,607,0.0330,0.0347,54.48,676,676,84.7,256.5,81042,14.5,100,2.80,0.0,0.0,0.00,OK
