run_id,benchmark,sf,query,storage,n_reps,min_ms,query_time_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
microbench_h2o_sf2gb_w1_001,microbench_h2o,2gb,w1_001,gpu,100,0,72.8729,4.5,7.29,59,58,110.3,241.6,40811,45.0,100,8.0393,0.0,0.0,0.0000,OK
microbench_h2o_sf2gb_w3_016,microbench_h2o,2gb,w3_016,gpu,358,28,28.0000,28.1,19.14,179,149,154.7,200.8,40815,98.9,100,4.3319,0.0,0.0,0.0000,OK
microbench_h2o_sf2gb_w6_022,microbench_h2o,2gb,w6_022,gpu,137,73,73.0000,73.1,17.14,154,123,242.1,290.7,40811,99.6,100,17.6757,0.0,0.0,0.0000,OK
