run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf2gb_q1,h2o,2gb,q1,25000,0.0040,0.0042,20.36,251,160,46.9,57.9,15841,7.1,68,0.19,108.9,1.8,0.44,OK
h2o_sf2gb_q10,h2o,2gb,q10,7695,0.0130,0.0139,24.52,305,254,57.2,107.8,15841,12.3,88,0.74,109.4,1.9,1.42,OK
h2o_sf2gb_q2,h2o,2gb,q2,16670,0.0050,0.0061,21.46,263,256,48.2,73.4,15821,5.1,79,0.24,109.1,1.8,0.55,OK
h2o_sf2gb_q3,h2o,2gb,q3,11115,0.0080,0.0090,22.03,272,229,51.3,75.1,15817,5.4,84,0.41,112.2,1.9,0.90,OK
h2o_sf2gb_q4,h2o,2gb,q4,25000,0.0040,0.0048,20.78,254,249,46.6,59.1,15801,4.9,66,0.19,109.6,1.9,0.44,OK
h2o_sf2gb_q5,h2o,2gb,q5,14290,0.0070,0.0079,21.37,263,214,50.3,73.1,15841,6.3,83,0.35,109.2,1.9,0.76,OK
h2o_sf2gb_q6,h2o,2gb,q6,11115,0.0080,0.0088,21.42,262,218,50.9,74.7,15835,8.1,82,0.41,112.0,1.9,0.90,OK
h2o_sf2gb_q7,h2o,2gb,q7,20000,0.0050,0.0056,20.91,258,217,50.5,69.2,15841,5.7,50,0.25,109.8,1.9,0.55,OK
h2o_sf2gb_q8,h2o,2gb,q8,8335,0.0120,0.0125,21.85,267,218,52.7,83.0,15839,5.3,86,0.63,108.8,1.9,1.31,OK
h2o_sf2gb_q9,h2o,2gb,q9,5000,0.0200,0.0206,23.78,292,244,59.4,118.2,15841,13.8,87,1.19,109.7,1.9,2.19,OK
