run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf1gb_q1,h2o,1gb,q1,10002,0.0020,0.0026,11.51,142,107,54.5,61.6,15841,6.2,56,0.11,108.8,1.8,0.22,OK
h2o_sf1gb_q10,h2o,1gb,q10,4287,0.0070,0.0076,12.72,157,151,60.5,94.7,15837,10.8,72,0.42,113.4,1.8,0.79,OK
h2o_sf1gb_q2,h2o,1gb,q2,10002,0.0030,0.0035,11.76,145,145,55.9,82.6,15833,7.1,60,0.17,108.3,1.8,0.32,OK
h2o_sf1gb_q3,h2o,1gb,q3,7500,0.0040,0.0043,11.80,145,89,56.5,73.4,15807,13.4,60,0.23,111.7,1.8,0.45,OK
h2o_sf1gb_q4,h2o,1gb,q4,10002,0.0020,0.0029,11.54,142,97,54.4,62.7,15823,7.8,54,0.11,111.1,1.8,0.22,OK
h2o_sf1gb_q5,h2o,1gb,q5,7500,0.0040,0.0042,11.73,146,93,56.7,71.9,15831,5.1,54,0.23,111.5,1.8,0.45,OK
h2o_sf1gb_q6,h2o,1gb,q6,6000,0.0040,0.0050,11.77,145,98,57.7,73.1,15839,17.4,69,0.23,111.1,1.8,0.44,OK
h2o_sf1gb_q7,h2o,1gb,q7,10002,0.0030,0.0033,11.59,142,91,56.3,69.8,15801,5.7,47,0.17,108.2,1.8,0.32,OK
h2o_sf1gb_q8,h2o,1gb,q8,4287,0.0070,0.0075,11.99,148,107,60.8,81.9,15837,18.8,46,0.43,111.1,1.8,0.78,OK
h2o_sf1gb_q9,h2o,1gb,q9,2730,0.0110,0.0112,12.58,154,150,62.2,99.8,15829,9.1,77,0.68,114.9,1.8,1.26,OK
