config,cpu_freq_khz,gpu_clk,engine,avg_cpu_dram_w,avg_cpu_pkg_w,avg_gpu_util,avg_ms,avg_power_w,avg_s,benchmark,cpu_energy_j,elapsed_s,energy_j,gpu_energy_j,max_gpu_util,max_mem_mb,max_power_w,min_ms,min_s,n_reps,num_samples,num_steady_samples,query,run_id,sf,status,storage
baseline,4000000,auto,sirius,1.9,112.0,9.7,,65.1,0.0114,clickbench,1.23,13.10,,0.72,87,15841,103.9,,0.0110,2730,163,111,q34,clickbench_sf5_q34,5,OK,
baseline,4000000,auto,sirius,1.8,111.2,10.4,,60.8,0.0061,clickbench,0.56,11.73,,0.30,70,15813,81.0,,0.0050,5001,143,103,q35,clickbench_sf5_q35,5,OK,
baseline,4000000,auto,sirius,1.9,112.2,56.3,,124.4,0.0036,clickbench,0.22,11.19,,0.25,58,15841,127.7,,0.0020,2000,145,92,q36,clickbench_sf5_q36,5,OK,
baseline,4000000,auto,sirius,1.8,111.2,57.5,,128.2,0.0037,clickbench,0.33,13.33,,0.38,59,15841,132.6,,0.0030,2500,173,124,q37,clickbench_sf5_q37,5,OK,
baseline,4000000,auto,sirius,1.8,111.4,23.3,,75.9,0.0021,clickbench,0.11,14.49,,0.08,25,15841,77.1,,0.0010,5000,190,139,q38,clickbench_sf5_q38,5,OK,
baseline,4000000,auto,sirius,2.0,113.5,32.9,,93.0,0.0041,clickbench,0.11,19.01,,0.09,53,15841,113.9,,0.0010,2500,243,179,q39,clickbench_sf5_q39,5,OK,
baseline,4000000,auto,sirius,1.8,108.3,8.9,,55.1,0.0022,clickbench,0.22,11.15,,0.11,16,15765,61.9,,0.0020,15000,138,49,q4,clickbench_sf5_q4,5,OK,
baseline,4000000,auto,sirius,1.8,111.5,20.5,,76.7,0.0023,clickbench,0.11,15.15,,0.08,25,15841,77.4,,0.0010,5000,199,146,q40,clickbench_sf5_q40,5,OK,
baseline,4000000,auto,sirius,1.8,110.0,23.5,,82.5,0.0019,clickbench,0.11,13.28,,0.08,24,15841,84.1,,0.0010,5000,174,126,q41,clickbench_sf5_q41,5,OK,
baseline,4000000,auto,sirius,1.8,110.7,29.3,,92.1,0.0025,clickbench,0.11,16.22,,0.09,31,15841,93.8,,0.0010,5000,212,159,q42,clickbench_sf5_q42,5,OK,
baseline,4000000,auto,sirius,1.8,112.2,24.8,,84.6,0.0305,clickbench,3.25,14.52,,2.45,93,15841,151.3,,0.0290,1002,181,81,q5,clickbench_sf5_q5,5,OK,
baseline,4000000,auto,sirius,1.8,110.2,0.5,,52.8,0.0013,clickbench,0.11,11.08,,0.05,9,15771,63.9,,0.0010,30000,136,129,q6,clickbench_sf5_q6,5,OK,
baseline,4000000,auto,sirius,1.8,110.1,8.7,,61.1,0.0011,clickbench,0.00,14.86,,0.00,9,15841,62.9,,0.0000,10000,196,154,q7,clickbench_sf5_q7,5,OK,
baseline,4000000,auto,sirius,1.8,107.9,39.0,,104.5,0.0379,clickbench,3.99,10.21,,3.87,96,15841,191.7,,0.0370,528,127,74,q8,clickbench_sf5_q8,5,OK,
baseline,4000000,auto,sirius,1.8,111.1,38.8,,105.4,0.0398,clickbench,4.33,10.36,,4.11,97,15841,187.9,,0.0390,500,130,88,q9,clickbench_sf5_q9,5,OK,
baseline,4000000,auto,sirius,1.8,108.8,6.2,,54.5,0.0026,h2o,0.22,11.51,,0.11,56,15841,61.6,,0.0020,10002,142,107,q1,h2o_sf1gb_q1,1gb,OK,
baseline,4000000,auto,sirius,1.8,113.4,10.8,,60.5,0.0076,h2o,0.79,12.72,,0.42,72,15837,94.7,,0.0070,4287,157,151,q10,h2o_sf1gb_q10,1gb,OK,
baseline,4000000,auto,sirius,1.8,108.3,7.1,,55.9,0.0035,h2o,0.32,11.76,,0.17,60,15833,82.6,,0.0030,10002,145,145,q2,h2o_sf1gb_q2,1gb,OK,
baseline,4000000,auto,sirius,1.8,111.7,13.4,,56.5,0.0043,h2o,0.45,11.80,,0.23,60,15807,73.4,,0.0040,7500,145,89,q3,h2o_sf1gb_q3,1gb,OK,
baseline,4000000,auto,sirius,1.8,111.1,7.8,,54.4,0.0029,h2o,0.22,11.54,,0.11,54,15823,62.7,,0.0020,10002,142,97,q4,h2o_sf1gb_q4,1gb,OK,
baseline,4000000,auto,sirius,1.8,111.5,5.1,,56.7,0.0042,h2o,0.45,11.73,,0.23,54,15831,71.9,,0.0040,7500,146,93,q5,h2o_sf1gb_q5,1gb,OK,
baseline,4000000,auto,sirius,1.8,111.1,17.4,,57.7,0.0050,h2o,0.44,11.77,,0.23,69,15839,73.1,,0.0040,6000,145,98,q6,h2o_sf1gb_q6,1gb,OK,
baseline,4000000,auto,sirius,1.8,108.2,5.7,,56.3,0.0033,h2o,0.32,11.59,,0.17,47,15801,69.8,,0.0030,10002,142,91,q7,h2o_sf1gb_q7,1gb,OK,
baseline,4000000,auto,sirius,1.8,111.1,18.8,,60.8,0.0075,h2o,0.78,11.99,,0.43,46,15837,81.9,,0.0070,4287,148,107,q8,h2o_sf1gb_q8,1gb,OK,
baseline,4000000,auto,sirius,1.8,114.9,9.1,,62.2,0.0112,h2o,1.26,12.58,,0.68,77,15829,99.8,,0.0110,2730,154,150,q9,h2o_sf1gb_q9,1gb,OK,
baseline,4000000,auto,sirius,1.8,108.6,0.0,,55.9,0.0038,h2o,0.33,11.94,,0.17,0,15773,70.6,,0.0030,7500,147,147,q1,h2o_sf2gb_q1,2gb,OK,
baseline,4000000,auto,sirius,1.9,111.1,12.0,,69.1,0.0128,h2o,1.33,14.36,,0.83,85,15837,133.8,,0.0120,2310,180,137,q10,h2o_sf2gb_q10,2gb,OK,
baseline,4000000,auto,sirius,1.8,108.8,10.9,,60.5,0.0055,h2o,0.54,12.49,,0.30,75,15817,81.9,,0.0050,6000,154,54,q2,h2o_sf2gb_q2,2gb,OK,
baseline,4000000,auto,sirius,1.8,108.3,10.7,,63.1,0.0081,h2o,0.76,12.73,,0.44,85,15835,93.2,,0.0070,3750,157,110,q3,h2o_sf2gb_q3,2gb,OK,
baseline,4000000,auto,sirius,1.8,111.0,7.5,,58.0,0.0043,h2o,0.44,12.09,,0.23,65,15801,73.2,,0.0040,7500,151,106,q4,h2o_sf2gb_q4,2gb,OK,
baseline,4000000,auto,sirius,1.8,108.2,5.0,,62.2,0.0072,h2o,0.76,12.45,,0.44,49,15841,91.0,,0.0070,4287,154,110,q5,h2o_sf2gb_q5,2gb,OK,
baseline,4000000,auto,sirius,1.8,108.5,10.6,,63.2,0.0082,h2o,0.87,12.55,,0.51,82,15839,93.8,,0.0080,3750,155,110,q6,h2o_sf2gb_q6,2gb,OK,
baseline,4000000,auto,sirius,1.8,108.4,4.1,,62.3,0.0053,h2o,0.54,12.26,,0.31,25,15841,84.6,,0.0050,6000,152,114,q7,h2o_sf2gb_q7,2gb,OK,
baseline,4000000,auto,sirius,1.8,108.1,9.8,,62.9,0.0113,h2o,1.19,12.73,,0.69,87,15841,104.5,,0.0110,2730,158,152,q8,h2o_sf2gb_q8,2gb,OK,
baseline,4000000,auto,sirius,1.8,111.2,14.0,,75.9,0.0194,h2o,2.11,13.83,,1.44,86,15841,140.4,,0.0190,1581,171,129,q9,h2o_sf2gb_q9,2gb,OK,
baseline,4000000,auto,sirius,1.8,112.9,41.0,,111.8,0.0043,tpch,0.11,16.13,,0.11,75,15841,144.7,,0.0010,2000,206,160,q01,tpch_sf1_q01,1,OK,
baseline,4000000,auto,sirius,1.8,111.6,15.7,,63.1,0.0066,tpch,0.45,11.95,,0.25,18,15841,63.7,,0.0040,1250,158,80,q02,tpch_sf1_q02,1,OK,
baseline,4000000,auto,sirius,1.8,112.4,28.8,,81.5,0.0034,tpch,0.22,10.65,,0.16,33,15841,83.5,,0.0020,2000,138,79,q03,tpch_sf1_q03,1,OK,
baseline,4000000,auto,sirius,1.8,112.7,26.7,,88.1,0.0030,tpch,0.11,11.25,,0.09,28,15841,91.8,,0.0010,2500,145,98,q04,tpch_sf1_q04,1,OK,
baseline,4000000,auto,sirius,1.8,111.4,16.8,,73.3,0.0042,tpch,0.22,12.19,,0.15,33,15841,77.0,,0.0020,2000,157,94,q05,tpch_sf1_q05,1,OK,
baseline,4000000,auto,sirius,1.8,110.4,28.8,,95.7,0.0021,tpch,0.11,14.03,,0.10,38,15841,111.0,,0.0010,5000,183,179,q06,tpch_sf1_q06,1,OK,
baseline,4000000,auto,sirius,1.8,112.2,18.7,,72.1,0.0056,tpch,0.34,11.77,,0.22,21,15841,74.8,,0.0030,1429,152,105,q07,tpch_sf1_q07,1,OK,
baseline,4000000,auto,sirius,1.8,111.2,13.1,,67.3,0.0052,tpch,0.33,11.20,,0.20,16,15841,71.5,,0.0030,1429,147,106,q08,tpch_sf1_q08,1,OK,
baseline,4000000,auto,sirius,1.8,110.7,26.7,,89.7,0.0047,tpch,0.33,10.57,,0.27,30,15841,94.6,,0.0030,1429,136,92,q09,tpch_sf1_q09,1,OK,
baseline,4000000,auto,sirius,1.8,112.6,25.1,,76.4,0.0046,tpch,0.23,10.38,,0.15,32,15841,80.2,,0.0020,1429,134,94,q10,tpch_sf1_q10,1,OK,
baseline,4000000,auto,sirius,1.8,110.5,8.5,,60.6,0.0020,tpch,0.11,23.95,,0.06,32,15841,63.1,,0.0010,5000,318,318,q11,tpch_sf1_q11,1,OK,
baseline,4000000,auto,sirius,1.8,111.3,17.2,,73.6,0.0033,tpch,0.22,10.38,,0.15,26,15841,86.3,,0.0020,2000,134,125,q12,tpch_sf1_q12,1,OK,
baseline,4000000,auto,sirius,1.8,110.4,60.0,,57.8,0.0052,tpch,0.44,11.48,,0.23,60,5583,60.5,,0.0040,6000,142,17,q13,tpch_sf1_q13,1,OK,
baseline,4000000,auto,sirius,1.8,111.4,15.0,,69.7,0.0021,tpch,0.11,10.80,,0.07,16,15841,70.4,,0.0010,3334,140,79,q14,tpch_sf1_q14,1,OK,
baseline,4000000,auto,sirius,1.8,111.9,13.3,,66.6,0.0029,tpch,0.11,10.96,,0.07,14,15841,68.5,,0.0010,2500,142,98,q15,tpch_sf1_q15,1,OK,
baseline,4000000,auto,sirius,1.8,112.0,38.6,,67.5,0.0073,tpch,0.22,15.12,,0.14,80,15841,77.0,,0.0020,1054,195,149,q16,tpch_sf1_q16,1,OK,
baseline,4000000,auto,sirius,1.8,111.8,28.3,,89.9,0.0038,tpch,0.11,18.36,,0.09,44,15841,107.2,,0.0010,2858,237,188,q17,tpch_sf1_q17,1,OK,
baseline,4000000,auto,sirius,1.8,111.3,51.9,,123.8,0.0059,tpch,0.45,11.07,,0.50,54,15841,129.2,,0.0040,1250,143,98,q18,tpch_sf1_q18,1,OK,
baseline,4000000,auto,sirius,1.8,112.7,24.7,,82.8,0.0038,tpch,0.23,11.54,,0.17,26,15841,84.2,,0.0020,2000,149,98,q19,tpch_sf1_q19,1,OK,
baseline,4000000,auto,sirius,1.8,111.6,25.6,,67.9,0.0049,tpch,0.33,11.90,,0.20,31,15841,68.7,,0.0030,1667,155,106,q20,tpch_sf1_q20,1,OK,
baseline,4000000,auto,sirius,1.8,111.0,32.3,,85.3,0.0069,tpch,0.33,17.35,,0.26,55,15841,100.9,,0.0030,1430,223,180,q21,tpch_sf1_q21,1,OK,
baseline,4000000,auto,sirius,1.8,111.9,14.0,,65.5,0.0036,tpch,0.22,12.85,,0.13,15,15841,67.1,,0.0020,2500,169,121,q22,tpch_sf1_q22,1,OK,
baseline,4000000,auto,sirius,1.8,112.3,48.4,,121.6,0.0062,tpch,0.11,15.23,,0.12,86,15841,170.8,,0.0010,1178,190,144,q01,tpch_sf2_q01,2,OK,
baseline,4000000,auto,sirius,1.8,110.3,18.0,,68.8,0.0066,tpch,0.55,12.00,,0.34,19,15841,69.5,,0.0050,1250,157,106,q02,tpch_sf2_q02,2,OK,
baseline,4000000,auto,sirius,1.8,112.4,39.6,,98.7,0.0040,tpch,0.22,11.97,,0.20,44,15841,105.1,,0.0020,2000,154,111,q03,tpch_sf2_q03,2,OK,
baseline,4000000,auto,sirius,1.8,111.0,42.5,,110.5,0.0037,tpch,0.22,11.14,,0.22,46,15841,116.1,,0.0020,2000,143,97,q04,tpch_sf2_q04,2,OK,
baseline,4000000,auto,sirius,1.8,111.7,26.2,,90.0,0.0045,tpch,0.22,10.27,,0.18,29,15841,95.4,,0.0020,1429,133,79,q05,tpch_sf2_q05,2,OK,
baseline,4000000,auto,sirius,1.8,110.8,58.2,,139.9,0.0032,tpch,0.22,14.32,,0.28,60,15841,141.5,,0.0020,3334,186,132,q06,tpch_sf2_q06,2,OK,
baseline,4000000,auto,sirius,1.8,110.9,25.5,,85.0,0.0058,tpch,0.44,11.12,,0.34,36,15841,88.7,,0.0040,1250,145,96,q07,tpch_sf2_q07,2,OK,
baseline,4000000,auto,sirius,1.8,109.8,13.9,,72.9,0.0057,tpch,0.44,11.07,,0.29,36,15841,88.8,,0.0040,1250,143,139,q08,tpch_sf2_q08,2,OK,
baseline,4000000,auto,sirius,1.8,111.7,36.6,,118.2,0.0055,tpch,0.34,10.04,,0.35,40,15841,121.8,,0.0030,1112,129,71,q09,tpch_sf2_q09,2,OK,
baseline,4000000,auto,sirius,1.8,112.3,34.5,,96.6,0.0049,tpch,0.34,10.12,,0.29,37,15841,99.8,,0.0030,1250,130,72,q10,tpch_sf2_q10,2,OK,
baseline,4000000,auto,sirius,1.8,110.7,12.3,,68.1,0.0021,tpch,0.11,24.43,,0.07,14,15841,70.5,,0.0010,5000,324,261,q11,tpch_sf2_q11,2,OK,
baseline,4000000,auto,sirius,1.8,112.1,38.2,,107.9,0.0040,tpch,0.22,10.48,,0.22,40,15841,112.3,,0.0020,1667,136,85,q12,tpch_sf2_q12,2,OK,
baseline,4000000,auto,sirius,1.8,108.0,7.6,,56.1,0.0077,tpch,0.76,11.77,,0.39,62,15821,68.9,,0.0070,4287,145,145,q13,tpch_sf2_q13,2,OK,
baseline,4000000,auto,sirius,1.8,110.5,20.4,,77.8,0.0025,tpch,0.11,12.12,,0.08,60,15841,89.9,,0.0010,3334,157,152,q14,tpch_sf2_q14,2,OK,
baseline,4000000,auto,sirius,1.8,110.2,23.4,,81.6,0.0032,tpch,0.22,11.81,,0.16,24,15841,83.4,,0.0020,2500,154,108,q15,tpch_sf2_q15,2,OK,
baseline,4000000,auto,sirius,1.8,111.2,35.2,,75.2,0.0069,tpch,0.22,14.10,,0.15,63,15841,89.9,,0.0020,954,180,128,q16,tpch_sf2_q16,2,OK,
baseline,4000000,auto,sirius,1.8,111.9,33.5,,106.7,0.0046,tpch,0.11,17.81,,0.11,59,15841,137.1,,0.0010,2224,230,182,q17,tpch_sf2_q17,2,OK,
baseline,4000000,auto,sirius,1.8,110.6,69.9,,150.7,0.0085,tpch,0.77,11.48,,1.05,71,15841,154.6,,0.0070,910,147,96,q18,tpch_sf2_q18,2,OK,
baseline,4000000,auto,sirius,1.8,112.4,37.3,,103.2,0.0044,tpch,0.22,10.48,,0.21,39,15841,105.9,,0.0020,1429,136,79,q19,tpch_sf2_q19,2,OK,
baseline,4000000,auto,sirius,1.8,111.8,31.6,,80.0,0.0055,tpch,0.34,10.69,,0.24,33,15841,81.2,,0.0030,1250,139,86,q20,tpch_sf2_q20,2,OK,
baseline,4000000,auto,sirius,1.8,112.6,39.3,,99.6,0.0088,tpch,0.45,16.89,,0.40,59,15841,124.2,,0.0040,1054,216,167,q21,tpch_sf2_q21,2,OK,
baseline,4000000,auto,sirius,1.8,110.2,13.9,,66.8,0.0037,tpch,0.22,11.23,,0.13,29,15841,74.9,,0.0020,2000,147,142,q22,tpch_sf2_q22,2,OK,
cpu_low,1800000,auto,maximus_gpu,1.8,54.7,59.7,0.2,128.2,,clickbench,0.0,10.52,0.0,,94,15691,171.9,0,,100,93,28,q0,clickbench_sf5_q0,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,77.7,0.6,142.7,,clickbench,0.0,10.59,0.0,,92,15693,168.9,0,,100,93,23,q1,clickbench_sf5_q1,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.0,94.4,7.8,141.4,,clickbench,0.4,41.63,1.0,,95,15693,146.0,7,,1250,385,307,q2,clickbench_sf5_q2,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.0,95.2,6.5,144.7,,clickbench,0.3,44.79,0.9,,96,15693,155.0,6,,1429,410,341,q3,clickbench_sf5_q3,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,53.9,93.6,1.3,178.3,,clickbench,0.1,209.13,0.2,,95,15693,181.2,1,,10000,1889,1811,q4,clickbench_sf5_q4,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,53.9,92.6,1.2,179.1,,clickbench,0.1,207.52,0.2,,94,15693,181.3,1,,10000,1870,1799,q5,clickbench_sf5_q5,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.1,95.2,8.3,142.6,,clickbench,0.4,42.65,1.1,,96,15693,152.1,8,,1250,392,323,q6,clickbench_sf5_q6,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.7,72.9,1.4,130.9,,clickbench,0.0,10.81,0.0,,93,15695,175.4,0,,100,95,28,q7,clickbench_sf5_q7,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,97.6,37.7,185.1,,clickbench,2.0,24.12,6.8,,98,15691,192.5,37,,271,225,155,q8,clickbench_sf5_q8,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,96.9,38.7,184.5,,clickbench,2.0,24.31,6.8,,98,15693,191.8,37,,271,227,156,q9,clickbench_sf5_q9,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,53.9,90.5,5.1,157.7,,clickbench,0.3,57.20,0.8,,91,15691,160.2,5,,2000,521,450,q10,clickbench_sf5_q10,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.0,91.0,7.1,154.4,,clickbench,0.4,45.94,1.1,,92,15691,157.3,7,,1429,422,350,q11,clickbench_sf5_q11,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.4,29.7,63.1,84.1,,clickbench,3.3,22.73,5.1,,63,15697,106.5,61,,164,216,149,q12,clickbench_sf5_q12,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.3,43.4,90.8,98.4,,clickbench,4.8,21.45,8.7,,51,15693,109.8,88,,113,201,133,q13,clickbench_sf5_q13,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.4,27.9,66.0,82.2,,clickbench,3.5,22.63,5.3,,38,15697,103.5,64,,157,215,149,q14,clickbench_sf5_q14,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.0,92.1,4.1,165.5,,clickbench,0.2,65.67,0.7,,93,15697,167.4,4,,2500,595,516,q15,clickbench_sf5_q15,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.4,31.2,75.1,81.4,,clickbench,4.0,21.48,5.9,,89,15697,106.1,73,,137,203,140,q16,clickbench_sf5_q16,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.4,30.6,75.1,81.2,,clickbench,4.0,21.35,5.9,,66,15697,104.7,73,,136,202,135,q17,clickbench_sf5_q17,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.4,75.1,0.1,138.7,,clickbench,0.0,10.49,0.0,,96,15691,175.5,0,,100,93,28,q19,clickbench_sf5_q19,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,96.7,47.2,236.6,,clickbench,2.5,22.53,10.9,,99,15693,245.4,46,,213,212,141,q20,clickbench_sf5_q20,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,94.8,48.8,231.6,,clickbench,2.5,22.78,10.9,,97,15695,242.0,47,,209,216,143,q21,clickbench_sf5_q21,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,93.8,47.9,220.7,,clickbench,2.5,23.29,10.2,,96,15693,224.4,46,,218,219,137,q22,clickbench_sf5_q22,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,98.0,46.9,240.2,,clickbench,2.5,23.01,11.0,,99,15691,246.5,46,,218,215,142,q23,clickbench_sf5_q23,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.3,23.4,86.8,77.1,,clickbench,4.6,21.72,6.6,,31,15691,103.8,85,,117,204,133,q24,clickbench_sf5_q24,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.4,36.5,108.5,87.8,,clickbench,5.8,21.08,9.4,,46,15691,110.5,107,,94,200,130,q25,clickbench_sf5_q25,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.4,31.3,95.7,80.3,,clickbench,5.1,21.30,7.5,,79,15691,105.5,94,,106,201,134,q26,clickbench_sf5_q26,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.0,54.1,10.3,121.5,,clickbench,0.5,43.25,1.2,,56,15693,135.7,10,,1000,408,333,q29,clickbench_sf5_q29,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.1,88.5,9.2,154.9,,clickbench,0.5,40.26,1.4,,90,15699,159.6,9,,1112,368,303,q30,clickbench_sf5_q30,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.3,89.8,15.4,152.5,,clickbench,0.8,31.73,2.3,,91,15699,156.3,15,,667,294,220,q31,clickbench_sf5_q31,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.5,42.6,195.5,97.2,,clickbench,10.1,17.45,18.0,,79,15697,109.5,185,,41,162,94,q32,clickbench_sf5_q32,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.4,20.0,326.1,64.9,,clickbench,17.3,19.90,20.6,,95,15697,96.7,318,,32,189,106,q33,clickbench_sf5_q33,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.4,15.4,329.3,64.1,,clickbench,17.3,19.64,20.4,,31,15697,94.6,318,,31,187,120,q34,clickbench_sf5_q34,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,53.9,93.3,3.1,171.4,,clickbench,0.2,79.68,0.5,,94,15697,174.6,3,,3334,719,649,q35,clickbench_sf5_q35,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,53.9,93.0,1.0,177.6,,clickbench,0.1,208.67,0.2,,94,15691,180.0,1,,10000,1884,1816,q36,clickbench_sf5_q36,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,53.9,92.9,1.0,178.8,,clickbench,0.1,208.84,0.2,,94,15691,180.7,1,,10000,1885,1811,q37,clickbench_sf5_q37,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.4,84.4,0.1,143.4,,clickbench,0.0,10.68,0.0,,94,15691,180.2,0,,100,93,29,q38,clickbench_sf5_q38,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.5,79.2,0.1,142.9,,clickbench,0.0,10.55,0.0,,94,15691,179.0,0,,100,93,28,q39,clickbench_sf5_q39,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.6,80.1,0.1,142.4,,clickbench,0.0,10.58,0.0,,93,15691,181.2,0,,100,94,28,q40,clickbench_sf5_q40,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.6,73.6,0.1,141.2,,clickbench,0.0,10.54,0.0,,93,15691,180.4,0,,100,94,28,q41,clickbench_sf5_q41,5,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.0,87.3,1.0,178.4,,h2o,0.1,50.88,0.2,,88,3447,182.7,1,,10000,476,414,q1,h2o_sf1gb_q1,1gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.0,85.9,2.0,181.7,,h2o,0.1,34.43,0.4,,87,3447,185.9,2,,5000,321,249,q2,h2o_sf1gb_q2,1gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.1,89.9,3.0,189.5,,h2o,0.2,28.61,0.6,,90,3449,193.5,3,,3334,268,199,q3,h2o_sf1gb_q3,1gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,53.9,91.6,1.0,185.0,,h2o,0.1,51.39,0.2,,92,3447,189.3,1,,10000,479,417,q4,h2o_sf1gb_q4,1gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.0,93.9,2.0,195.3,,h2o,0.1,35.47,0.4,,94,3449,201.0,2,,5000,332,269,q5,h2o_sf1gb_q5,1gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,99.2,133.5,204.1,,h2o,7.0,18.43,26.3,,100,3445,208.2,129,,77,173,101,q6,h2o_sf1gb_q6,1gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.1,85.5,2.0,194.5,,h2o,0.1,33.69,0.4,,86,3449,199.6,2,,5000,314,250,q7,h2o_sf1gb_q7,1gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.1,81.3,3.1,176.6,,h2o,0.2,25.04,0.5,,82,3447,180.7,3,,2500,234,166,q9,h2o_sf1gb_q9,1gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,88.0,6.1,199.8,,h2o,0.3,23.63,1.2,,89,3449,200.6,6,,1667,221,143,q10,h2o_sf1gb_q10,1gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.0,93.2,2.1,188.9,,h2o,0.1,48.34,0.4,,94,6559,191.1,2,,5000,446,375,q1,h2o_sf2gb_q1,2gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.1,92.5,4.1,193.8,,h2o,0.2,32.50,0.8,,93,6559,196.2,4,,2500,303,229,q2,h2o_sf2gb_q2,2gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.1,94.5,6.2,198.1,,h2o,0.3,27.67,1.0,,95,6561,203.4,5,,1667,256,187,q3,h2o_sf2gb_q3,2gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.1,95.3,3.0,191.0,,h2o,0.2,35.88,0.6,,96,6559,195.6,3,,3334,331,264,q4,h2o_sf2gb_q4,2gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,96.9,6.0,195.8,,h2o,0.3,26.98,1.0,,97,6561,199.0,5,,1667,251,179,q5,h2o_sf2gb_q5,2gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,99.2,276.2,206.3,,h2o,14.4,18.74,54.9,,100,6557,215.2,266,,38,177,105,q6,h2o_sf2gb_q6,2gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.1,91.8,4.1,209.8,,h2o,0.2,31.72,0.8,,92,6561,212.3,4,,2500,295,221,q7,h2o_sf2gb_q7,2gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,89.7,6.1,191.1,,h2o,0.3,28.56,1.1,,90,6559,195.2,6,,1667,256,188,q9,h2o_sf2gb_q9,2gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,93.4,11.2,210.7,,h2o,0.6,23.70,2.3,,94,6561,214.3,11,,910,220,151,q10,h2o_sf2gb_q10,2gb,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.1,78.9,5.1,173.1,,tpch,0.3,28.60,0.9,,79,6565,176.3,5,,2000,267,194,q1,tpch_sf1_q1,1,OK,gpu
cpu_low,1800000,auto,maximus_gpu,1.8,54.2,24.3,6.1,72.3,,tpch,0.3,24.80,0.4,,26,3451,74.5,6,,1667,236,175,q2,tpch_sf1_q2,1,OK,gpu
