config,cpu_freq_khz,gpu_clk,engine,avg_cpu_dram_w,avg_cpu_pkg_w,avg_gpu_util,avg_ms,avg_power_w,avg_s,benchmark,cpu_energy_j,elapsed_s,energy_j,gpu_energy_j,max_gpu_util,max_mem_mb,max_power_w,min_ms,min_s,n_reps,num_samples,num_steady_samples,query,run_id,sf,status,storage
baseline,4000000,auto,maximus_gpu,1.8,108.2,80.5,3.0,154.4,,clickbench,0.3,81.06,0.5,,82,15693,165.3,3,,3334,991,956,q29,clickbench_sf5_q29,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.5,95.4,6.0,173.8,,clickbench,0.7,45.00,1.0,,96,15699,175.4,6,,1667,544,503,q30,clickbench_sf5_q30,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.5,89.5,10.1,163.2,,clickbench,1.1,32.41,1.6,,96,15699,175.8,10,,1000,402,398,q31,clickbench_sf5_q31,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.7,66.9,87.0,144.9,,clickbench,9.2,13.83,12.3,,72,15697,152.4,85,,100,177,141,q32,clickbench_sf5_q32,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.7,21.8,90.9,81.9,,clickbench,9.6,15.55,7.3,,68,15697,115.2,89,,113,204,204,q33,clickbench_sf5_q33,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.4,31.8,90.6,85.6,,clickbench,9.6,15.55,7.6,,81,15697,113.1,89,,113,204,171,q34,clickbench_sf5_q34,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.1,97.0,2.0,182.0,,clickbench,0.2,103.37,0.4,,97,15697,184.4,2,,5000,1230,1190,q35,clickbench_sf5_q35,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.9,97.0,1.0,184.3,,clickbench,0.1,195.10,0.2,,97,15691,186.3,1,,10000,2301,2260,q36,clickbench_sf5_q36,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,-1256.8,97.0,1.0,184.8,,clickbench,-1.3,195.12,0.2,,97,15691,186.5,1,,10000,2298,2258,q37,clickbench_sf5_q37,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.3,97.0,0.0,173.4,,clickbench,0.0,5.15,0.0,,97,15691,189.0,0,,100,60,23,q38,clickbench_sf5_q38,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.7,37.6,0.0,107.8,,clickbench,0.0,5.04,0.0,,97,15691,193.3,0,,100,61,60,q39,clickbench_sf5_q39,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,97.0,0.0,172.7,,clickbench,0.0,5.07,0.0,,97,15691,190.8,0,,100,62,24,q40,clickbench_sf5_q40,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.1,96.2,0.0,169.0,,clickbench,0.0,5.05,0.0,,97,15691,187.0,0,,100,61,24,q41,clickbench_sf5_q41,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.4,95.9,1.0,192.8,,h2o,0.1,41.71,0.2,,96,3447,196.3,1,,10000,516,485,q1,h2o_sf1gb_q1,1gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,95.0,2.0,200.6,,h2o,0.2,26.38,0.4,,95,3447,202.3,2,,5000,326,288,q2,h2o_sf1gb_q2,1gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.5,96.9,3.0,204.9,,h2o,0.2,21.73,0.4,,97,3449,206.2,2,,3334,271,229,q3,h2o_sf1gb_q3,1gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.4,96.9,1.0,195.9,,h2o,0.1,43.52,0.2,,97,3447,198.5,1,,10000,532,498,q4,h2o_sf1gb_q4,1gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,98.0,2.0,205.0,,h2o,0.2,28.86,0.4,,98,3449,207.9,2,,5000,362,330,q5,h2o_sf1gb_q5,1gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.8,99.8,130.8,207.6,,h2o,14.0,13.01,26.8,,100,3445,213.1,129,,78,169,137,q6,h2o_sf1gb_q6,1gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.6,95.0,1.6,215.6,,h2o,0.1,25.51,0.2,,95,3449,218.7,1,,5000,316,281,q7,h2o_sf1gb_q7,1gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.5,93.9,3.0,201.8,,h2o,0.3,22.16,0.6,,94,3447,204.0,3,,3334,280,242,q9,h2o_sf1gb_q9,1gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.8,90.8,5.5,193.4,,h2o,0.5,19.86,1.0,,96,3665,215.6,5,,2000,253,250,q10,h2o_sf1gb_q10,1gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,97.9,2.0,199.4,,h2o,0.2,41.01,0.4,,98,6559,200.6,2,,5000,503,461,q1,h2o_sf2gb_q1,2gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.9,97.6,4.0,203.7,,h2o,0.4,25.92,0.8,,98,6559,207.2,4,,2500,317,285,q2,h2o_sf2gb_q2,2gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.9,98.0,5.3,208.3,,h2o,0.5,21.48,1.0,,98,6561,210.3,5,,1667,269,230,q3,h2o_sf2gb_q3,2gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.1,98.0,2.0,199.3,,h2o,0.2,42.82,0.4,,99,6559,200.9,2,,5000,530,494,q4,h2o_sf2gb_q4,2gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,99.0,5.0,202.0,,h2o,0.4,24.77,0.8,,99,6561,203.5,4,,2000,311,274,q5,h2o_sf2gb_q5,2gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.5,100.0,269.8,210.1,,h2o,28.9,13.08,55.9,,100,6557,215.6,266,,38,171,137,q6,h2o_sf2gb_q6,2gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.1,97.6,3.0,220.3,,h2o,0.3,32.23,0.7,,98,6561,223.4,3,,3334,402,370,q7,h2o_sf2gb_q7,2gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.3,85.4,6.0,189.1,,h2o,0.7,21.60,1.1,,98,6559,207.9,6,,1667,269,268,q9,h2o_sf2gb_q9,2gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.1,98.0,10.6,222.6,,h2o,1.1,18.81,2.2,,98,6561,223.7,10,,1000,239,198,q10,h2o_sf2gb_q10,2gb,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,106.8,92.8,4.0,194.9,,tpch,0.4,24.18,0.8,,93,6565,197.7,4,,2500,308,271,q1,tpch_sf1_q1,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.1,54.2,2.1,90.3,,tpch,0.2,24.78,0.2,,55,3451,92.8,2,,5000,326,287,q2,tpch_sf1_q2,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.4,91.1,2.0,164.7,,tpch,0.2,42.24,0.3,,92,6565,166.7,2,,5000,527,492,q3,tpch_sf1_q3,1,OK,gpu
