run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf1gb_q1,h2o,1gb,q1,gpu,286,12,39.4,51.60,388,361,54.4,55.2,4444,96.1,99,0.7,124.7,1.8,1.5,OK
h2o_sf1gb_q2,h2o,1gb,q2,gpu,109,14,46.7,22.70,169,140,54.7,55.4,4442,95.4,99,0.8,124.0,1.8,1.7,OK
h2o_sf1gb_q3,h2o,1gb,q3,gpu,130,25,85.0,32.80,253,222,55.0,55.5,4428,95.6,99,1.4,125.4,1.8,3.1,OK
h2o_sf1gb_q4,h2o,1gb,q4,gpu,400,13,38.8,72.03,535,489,54.5,55.3,4442,96.2,100,0.7,124.7,1.8,1.6,OK
h2o_sf1gb_q5,h2o,1gb,q5,gpu,150,53,63.1,30.75,241,194,55.5,55.9,4332,96.5,97,2.9,126.0,1.8,6.7,OK
h2o_sf1gb_q6,h2o,1gb,q6,gpu,3,3168,3197.3,13.92,121,93,57.9,60.0,4336,96.7,98,183.5,124.7,1.8,395.0,OK
h2o_sf1gb_q7,h2o,1gb,q7,gpu,113,29,46.1,17.28,101,98,51.5,56.8,4188,77.1,100,1.5,120.3,1.8,3.5,OK
h2o_sf1gb_q9,h2o,1gb,q9,gpu,159,32,51.4,25.07,132,105,57.1,59.9,4960,97.8,100,1.8,122.7,1.8,3.9,OK
h2o_sf1gb_q10,h2o,1gb,q10,gpu,57,55,225.6,24.61,173,139,59.8,61.1,4832,97.5,100,3.3,123.2,1.8,6.8,OK
