run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf1gb_q1,h2o,1gb,q1,40002,0.0030,0.0033,23.84,287,245,37.9,44.2,15835,3.4,29,0.11,108.6,1.8,0.33,OK
h2o_sf1gb_q10,h2o,1gb,q10,11115,0.0090,0.0099,22.24,270,162,42.7,65.7,15841,5.6,79,0.38,109.3,1.9,0.98,OK
h2o_sf1gb_q2,h2o,1gb,q2,25000,0.0040,0.0045,20.46,244,195,38.5,46.8,15803,4.3,71,0.15,110.1,1.8,0.44,OK
h2o_sf1gb_q3,h2o,1gb,q3,20000,0.0050,0.0057,20.58,249,215,39.7,50.5,15841,7.3,74,0.20,111.9,1.9,0.56,OK
h2o_sf1gb_q4,h2o,1gb,q4,33335,0.0030,0.0037,20.15,241,236,37.9,45.6,15799,7.3,61,0.11,107.9,1.8,0.32,OK
h2o_sf1gb_q5,h2o,1gb,q5,16670,0.0050,0.0057,20.40,243,200,39.6,50.0,15825,4.8,73,0.20,112.1,1.9,0.56,OK
h2o_sf1gb_q6,h2o,1gb,q6,16670,0.0050,0.0061,20.34,244,196,39.5,50.8,15841,4.3,71,0.20,109.7,1.8,0.55,OK
h2o_sf1gb_q7,h2o,1gb,q7,25000,0.0030,0.0042,20.12,241,204,39.2,48.9,15787,5.0,49,0.12,111.4,1.8,0.33,OK
h2o_sf1gb_q8,h2o,1gb,q8,10000,0.0100,0.0104,21.03,255,210,40.9,56.0,15841,7.1,86,0.41,112.1,1.8,1.12,OK
h2o_sf1gb_q9,h2o,1gb,q9,7695,0.0120,0.0132,21.87,265,223,44.0,68.1,15841,10.9,81,0.53,111.1,1.8,1.33,OK
