config,engine,time_offset_ms,gpu_power_w,gpu_util_pct,mem_used_mb,sm_clk_mhz,cpu_pkg_w,cpu_dram_w
baseline,sirius_gpu,5566,105.11,0.0,5565.0,2910.0,106.0,1.8
baseline,sirius_gpu,5639,105.11,0.0,5565.0,2910.0,107.3,1.8
baseline,sirius_gpu,5714,92.73,0.0,5565.0,2910.0,109.7,1.8
baseline,sirius_gpu,5862,80.64,0.0,441.0,2910.0,104.5,1.9
baseline,maximus_gpu,26,56.47,9.0,15.0,2910.0,112.0,1.9
baseline,maximus_gpu,201,56.38,9.0,18.0,2910.0,101.2,1.8
baseline,maximus_gpu,282,53.3,9.0,283.0,2910.0,107.4,1.9
baseline,maximus_gpu,359,53.65,9.0,3395.0,2910.0,106.9,1.8
baseline,maximus_gpu,435,53.67,9.0,3395.0,2910.0,110.8,2.0
baseline,maximus_gpu,511,53.79,0.0,3395.0,2910.0,107.1,1.8
baseline,maximus_gpu,587,53.79,0.0,3395.0,2910.0,110.0,1.9
baseline,maximus_gpu,662,53.6,0.0,3395.0,2910.0,108.3,1.8
baseline,maximus_gpu,737,53.83,0.0,3395.0,2910.0,105.8,1.8
baseline,maximus_gpu,813,53.63,0.0,3395.0,2910.0,108.5,1.8
baseline,maximus_gpu,888,53.63,0.0,3395.0,2910.0,107.6,1.8
baseline,maximus_gpu,963,53.14,0.0,3395.0,2910.0,114.6,2.0
baseline,maximus_gpu,1039,52.85,0.0,3395.0,2910.0,109.3,1.8
baseline,maximus_gpu,1114,52.02,0.0,3395.0,2910.0,104.4,1.8
baseline,maximus_gpu,1189,51.76,0.0,3395.0,2910.0,105.9,1.8
baseline,maximus_gpu,1265,51.76,0.0,3437.0,2910.0,107.8,2.1
baseline,maximus_gpu,1341,51.08,0.0,3437.0,2910.0,102.7,1.8
baseline,maximus_gpu,1417,50.89,0.0,3437.0,2910.0,109.6,1.9
baseline,maximus_gpu,1493,50.79,0.0,3437.0,2910.0,107.5,1.9
baseline,maximus_gpu,1569,50.79,0.0,3437.0,2910.0,106.5,1.9
baseline,maximus_gpu,1644,50.64,0.0,3437.0,2910.0,105.5,1.8
baseline,maximus_gpu,1723,50.47,0.0,3437.0,2910.0,104.4,1.8
baseline,maximus_gpu,1802,50.14,0.0,3437.0,2910.0,106.3,1.8
baseline,maximus_gpu,1878,50.14,0.0,3437.0,2910.0,104.8,1.9
baseline,maximus_gpu,1954,50.13,0.0,3437.0,2910.0,104.8,1.8
baseline,maximus_gpu,2030,49.94,0.0,3437.0,2910.0,107.2,1.9
baseline,maximus_gpu,2105,49.93,0.0,3437.0,2910.0,104.6,1.8
baseline,maximus_gpu,2180,49.93,0.0,3437.0,2910.0,110.5,1.9
baseline,maximus_gpu,2255,49.93,0.0,3437.0,2910.0,115.6,1.9
baseline,maximus_gpu,2331,49.92,0.0,3437.0,2910.0,114.4,1.9
baseline,maximus_gpu,2406,49.89,0.0,3437.0,2910.0,118.2,2.1
baseline,maximus_gpu,2482,49.89,0.0,3437.0,2910.0,116.1,2.0
baseline,maximus_gpu,2556,49.91,0.0,3437.0,2910.0,117.4,2.0
baseline,maximus_gpu,2631,49.89,0.0,3437.0,2910.0,126.2,2.3
baseline,maximus_gpu,2707,49.89,0.0,3437.0,2910.0,124.0,2.2
baseline,maximus_gpu,2782,49.89,0.0,3437.0,2910.0,126.7,2.3
baseline,maximus_gpu,2857,49.89,0.0,3437.0,2910.0,128.4,2.1
baseline,maximus_gpu,2933,49.89,0.0,3437.0,2910.0,134.5,2.1
baseline,maximus_gpu,3008,49.86,0.0,3437.0,2910.0,136.8,2.2
baseline,maximus_gpu,3083,49.86,0.0,3437.0,2910.0,136.1,2.2
baseline,maximus_gpu,3157,49.88,0.0,3437.0,2910.0,135.3,2.0
baseline,maximus_gpu,3232,49.88,0.0,3437.0,2910.0,133.0,2.0
baseline,maximus_gpu,3312,49.86,0.0,3437.0,2910.0,135.2,2.1
baseline,maximus_gpu,3388,49.86,0.0,3437.0,2910.0,134.1,2.2
baseline,maximus_gpu,3470,49.85,0.0,3437.0,2910.0,192.9,3.5
baseline,maximus_gpu,3552,49.83,0.0,3437.0,2910.0,236.8,3.9
baseline,maximus_gpu,3633,49.81,0.0,3437.0,2910.0,229.0,4.3
baseline,maximus_gpu,3709,49.8,0.0,3437.0,2910.0,177.0,3.9
baseline,maximus_gpu,3791,49.8,0.0,3437.0,2910.0,227.3,4.6
