config,engine,time_offset_ms,gpu_power_w,gpu_util_pct,mem_used_mb,sm_clk_mhz,cpu_pkg_w,cpu_dram_w
baseline,sirius_gpu,46,13.22,0.0,15.0,225.0,104.1,1.8
baseline,sirius_gpu,233,13.31,0.0,15.0,225.0,102.0,1.8
baseline,sirius_gpu,322,13.99,0.0,32.0,225.0,99.5,1.8
baseline,sirius_gpu,396,15.82,0.0,283.0,225.0,105.2,1.9
baseline,sirius_gpu,470,18.27,0.0,283.0,225.0,105.9,1.8
baseline,sirius_gpu,544,18.27,0.0,283.0,225.0,106.9,1.8
baseline,sirius_gpu,618,20.35,0.0,283.0,225.0,107.9,1.9
baseline,sirius_gpu,692,22.16,0.0,283.0,225.0,107.0,1.9
baseline,sirius_gpu,768,23.76,0.0,283.0,225.0,105.1,1.8
baseline,sirius_gpu,842,23.76,0.0,283.0,225.0,109.0,1.9
baseline,sirius_gpu,917,25.19,0.0,283.0,225.0,109.2,1.9
baseline,sirius_gpu,991,26.46,0.0,283.0,225.0,105.8,1.8
baseline,sirius_gpu,1066,41.75,0.0,283.0,225.0,108.1,1.9
baseline,sirius_gpu,1140,41.75,0.0,283.0,225.0,109.5,1.8
baseline,sirius_gpu,1214,42.46,0.0,283.0,225.0,108.3,1.8
baseline,sirius_gpu,1289,46.76,0.0,283.0,225.0,109.1,1.9
baseline,sirius_gpu,1363,46.76,0.0,283.0,225.0,108.4,1.8
baseline,sirius_gpu,1436,49.49,0.0,283.0,225.0,109.0,1.8
baseline,sirius_gpu,1511,49.49,0.0,283.0,225.0,107.8,1.8
baseline,sirius_gpu,1585,49.43,0.0,283.0,225.0,109.3,1.8
baseline,sirius_gpu,1659,49.43,0.0,283.0,225.0,106.4,1.8
baseline,sirius_gpu,1738,49.44,0.0,283.0,225.0,108.5,1.8
baseline,sirius_gpu,1812,49.44,0.0,283.0,225.0,108.3,1.8
baseline,sirius_gpu,1888,49.43,0.0,283.0,225.0,110.3,1.9
baseline,sirius_gpu,1962,49.43,0.0,283.0,225.0,109.0,1.9
baseline,sirius_gpu,2037,49.44,0.0,283.0,225.0,107.2,1.8
baseline,sirius_gpu,2111,49.44,0.0,283.0,225.0,108.6,1.9
baseline,sirius_gpu,2186,49.41,0.0,283.0,225.0,110.9,1.9
baseline,sirius_gpu,2261,49.41,0.0,283.0,225.0,106.4,1.8
baseline,sirius_gpu,2335,49.42,0.0,283.0,225.0,108.3,1.9
baseline,sirius_gpu,2410,49.42,0.0,283.0,225.0,107.4,1.8
baseline,sirius_gpu,2484,49.41,0.0,283.0,225.0,106.6,1.8
baseline,sirius_gpu,2559,49.41,0.0,283.0,225.0,108.9,1.8
baseline,sirius_gpu,2724,49.41,0.0,303.0,225.0,109.6,2.2
baseline,sirius_gpu,2800,49.47,0.0,15669.0,225.0,107.4,1.8
baseline,sirius_gpu,2873,49.59,0.0,15669.0,225.0,108.0,1.8
baseline,sirius_gpu,2949,49.59,1.0,15669.0,225.0,108.7,1.8
baseline,sirius_gpu,3022,49.59,1.0,15669.0,225.0,107.5,1.8
baseline,sirius_gpu,3096,49.6,1.0,15669.0,225.0,108.3,1.8
baseline,sirius_gpu,3171,49.62,1.0,15669.0,225.0,107.6,1.8
baseline,sirius_gpu,3246,49.62,1.0,15669.0,225.0,107.6,1.8
baseline,sirius_gpu,3319,49.63,1.0,15669.0,225.0,114.2,2.1
baseline,sirius_gpu,3417,49.63,0.0,15669.0,225.0,183.9,2.9
baseline,sirius_gpu,3500,49.92,0.0,15669.0,225.0,120.0,3.1
baseline,sirius_gpu,3581,55.87,0.0,15691.0,225.0,105.8,1.9
