config,time_offset_ms,gpu_power_w,gpu_util_pct,mem_used_mb,sm_clk_mhz,cpu_pkg_w,cpu_dram_w
both_low,15549,33.12,100.0,15761.0,180.0,105.1,1.8
both_low,15805,33.12,100.0,15761.0,180.0,105.5,1.8
both_low,15907,33.06,100.0,15761.0,180.0,104.9,1.8
both_low,16068,33.03,100.0,15767.0,180.0,104.2,1.8
both_low,16243,33.07,100.0,15767.0,180.0,104.0,1.8
both_low,16512,33.07,100.0,15767.0,180.0,105.4,1.8
both_low,16612,33.08,100.0,15767.0,180.0,104.7,1.8
both_low,16797,33.03,100.0,15771.0,180.0,105.9,1.8
both_low,16974,33.04,100.0,15771.0,180.0,104.3,1.8
both_low,17239,33.03,100.0,15771.0,180.0,104.0,1.8
both_low,17342,32.99,100.0,15771.0,180.0,104.8,1.8
both_low,17515,32.9,100.0,15775.0,180.0,104.5,1.8
both_low,17683,32.87,100.0,15775.0,180.0,105.3,1.8
both_low,17935,32.93,100.0,15775.0,180.0,106.0,1.8
both_low,18043,32.87,100.0,15775.0,180.0,103.3,1.8
both_low,18229,32.82,100.0,15779.0,180.0,113.2,1.8
both_low,18404,32.85,100.0,15779.0,180.0,116.3,1.8
both_low,18624,32.89,100.0,15779.0,180.0,116.1,1.8
both_low,18748,32.84,100.0,15779.0,180.0,115.4,1.8
both_low,18935,32.9,100.0,15783.0,180.0,107.9,1.8
both_low,19104,32.86,100.0,15783.0,180.0,104.3,1.8
both_low,19317,32.91,100.0,15783.0,180.0,105.5,1.8
both_low,19460,32.92,100.0,15783.0,180.0,106.2,1.8
both_low,19600,32.99,100.0,15783.0,180.0,103.7,1.8
both_low,19743,33.03,100.0,15789.0,180.0,108.3,1.8
both_low,19888,32.98,100.0,15789.0,180.0,105.8,1.8
both_low,20161,33.1,100.0,15789.0,180.0,105.6,1.8
both_low,20259,33.1,100.0,15789.0,180.0,105.4,1.8
both_low,20431,33.06,100.0,15793.0,180.0,106.2,1.8
both_low,20595,33.08,100.0,15793.0,180.0,105.9,1.8
both_low,20862,33.07,100.0,15793.0,180.0,107.5,1.8
both_low,20962,33.01,100.0,15793.0,180.0,107.7,1.8
both_low,21137,33.04,100.0,15797.0,180.0,105.5,1.8
both_low,21310,33.03,100.0,15797.0,180.0,106.0,1.8
both_low,21555,33.12,100.0,15797.0,180.0,107.0,1.8
both_low,21653,33.12,100.0,15797.0,180.0,105.2,1.8
both_low,21857,33.15,97.0,15801.0,180.0,113.7,1.8
both_low,22030,33.21,97.0,15801.0,180.0,115.5,1.8
both_low,22248,33.22,97.0,15801.0,180.0,115.0,1.8
both_low,22374,33.21,100.0,15801.0,180.0,115.0,1.8
both_low,22561,33.21,100.0,15805.0,180.0,106.6,1.8
both_low,22733,33.25,100.0,15805.0,180.0,106.4,1.8
both_low,22951,33.2,100.0,15805.0,180.0,104.4,1.8
both_low,23094,33.23,100.0,15805.0,180.0,102.5,1.8
both_low,23282,33.22,100.0,15809.0,180.0,106.4,1.8
both_low,23459,33.23,100.0,15809.0,180.0,103.9,1.8
both_low,23670,33.3,100.0,15809.0,180.0,103.9,1.8
both_low,23812,33.27,100.0,15809.0,180.0,103.4,1.8
both_low,23957,33.27,100.0,15813.0,180.0,105.0,1.8
both_low,24102,33.26,100.0,15815.0,180.0,104.9,1.8
both_low,24243,33.28,100.0,15815.0,180.0,104.0,1.8
both_low,24507,33.26,100.0,15815.0,180.0,106.5,1.8
both_low,24609,33.2,100.0,15815.0,180.0,103.6,1.8
both_low,24775,33.12,100.0,15819.0,180.0,105.8,1.8
both_low,24953,33.14,100.0,15819.0,180.0,105.8,1.8
both_low,25221,33.22,100.0,15819.0,180.0,104.5,1.8
both_low,25325,33.19,100.0,15819.0,180.0,105.1,1.8
both_low,25498,33.12,100.0,15823.0,180.0,115.0,1.8
both_low,25675,33.08,100.0,15823.0,180.0,116.5,1.8
both_low,25947,33.17,100.0,15823.0,180.0,115.7,1.8
both_low,26048,33.06,100.0,15823.0,180.0,115.0,1.8
both_low,26434,32.76,100.0,5565.0,180.0,104.9,1.8
both_low,26519,31.51,100.0,5565.0,180.0,105.1,1.8
both_low,26598,31.51,100.0,5565.0,180.0,104.9,1.8
both_low,26677,30.01,100.0,5565.0,180.0,109.6,1.8
both_low,26756,28.45,100.0,5565.0,180.0,105.7,1.8
both_low,26834,26.24,100.0,5565.0,180.0,106.7,1.8
both_low,26914,24.52,100.0,5565.0,180.0,106.8,1.8
both_low,27172,24.05,100.0,445.0,180.0,98.1,1.8
both_low,27354,22.41,100.0,441.0,180.0,99.5,1.8
