engine,storage,benchmark,sf,query,min_ms,avg_ms,status
maximus,cpu,h2o,3gb,q3,605.557,639.6,OK
maximus,cpu,h2o,3gb,q5,259.804,263.6,OK
maximus,cpu,h2o,4gb,q1,311.367,339.7,OK
maximus,cpu,h2o,4gb,q3,901.62,1040.9,OK
maximus,cpu,h2o,4gb,q5,368.371,370.0,OK
maximus,cpu,microbench_tpch,1,w1_002,2.115,64.1,OK
maximus,cpu,microbench_tpch,1,w3_001,0.911,8.9,OK
maximus,cpu,microbench_tpch,1,w5a_029,4.964,8.0,OK
maximus,cpu,microbench_tpch,5,w1_002,9.587,227.8,OK
maximus,cpu,microbench_tpch,5,w3_001,2.417,10.1,OK
maximus,cpu,microbench_tpch,5,w5a_029,21.057,23.7,OK
maximus,cpu,microbench_tpch,10,w1_002,20.591,100.2,OK
maximus,cpu,microbench_tpch,10,w3_001,4.339,29.2,OK
maximus,cpu,microbench_tpch,10,w5a_029,50.204,52.8,OK
maximus,cpu,microbench_tpch,20,w1_002,40.271,120.7,OK
maximus,cpu,microbench_tpch,20,w3_001,8.0,17.9,OK
maximus,cpu,microbench_tpch,20,w5a_029,98.812,101.9,OK
maximus,cpu,microbench_h2o,1gb,w1_001,16.876,149.4,OK
maximus,cpu,microbench_h2o,1gb,w3_016,78.637,86.7,OK
maximus,cpu,microbench_h2o,1gb,w6_022,114.357,117.7,OK
maximus,cpu,microbench_h2o,2gb,w1_001,31.641,279.1,OK
maximus,cpu,microbench_h2o,2gb,w3_016,152.26,175.4,OK
maximus,cpu,microbench_h2o,2gb,w6_022,219.154,225.8,OK
maximus,cpu,microbench_h2o,3gb,w1_001,49.555,50.3,OK
maximus,cpu,microbench_h2o,3gb,w3_016,227.616,244.6,OK
maximus,cpu,microbench_h2o,3gb,w6_022,338.587,343.8,OK
maximus,cpu,microbench_h2o,4gb,w1_001,64.802,248.4,OK
maximus,cpu,microbench_h2o,4gb,w3_016,303.621,352.3,OK
maximus,cpu,microbench_h2o,4gb,w6_022,442.052,563.8,OK
