config,pl_w,sm_mhz,engine,benchmark,sf,query,storage,n_reps,min_ms,query_ms,elapsed_s,n_samples,n_steady,avg_power_w,max_power_w,avg_util,max_mem_mb,avg_sm_mhz,gpu_energy_j,cpu_energy_j,total_energy_j,status
pl150w_smauto,150,auto,maximus,h2o,4gb,q1,cpu,33,148.6850,148.6850,52.08,813,807,120.6,136.2,1.4,48705,1965,17.9319,0.0000,17.9319,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q3,cpu,14,359.5040,359.5040,28.71,445,439,122.3,129.2,4.1,48703,1902,43.9699,0.0000,43.9699,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q5,cpu,24,213.1020,213.1020,41.02,639,633,120.5,127.5,1.1,48704,1957,25.6757,0.0000,25.6757,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q6,cpu,6,987.8790,987.8790,19.03,291,286,134.9,173.3,26.4,48704,1553,133.2798,0.0000,133.2798,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q7,cpu,17,296.9630,296.9630,31.85,495,489,122.1,144.5,4.1,48703,1899,36.2611,0.0000,36.2611,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q9,cpu,39,127.0740,127.0740,60.66,943,936,123.4,129.4,7.8,48706,1838,15.6801,0.0000,15.6801,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q1,gpu,100,20.0000,20.0000,7.40,111,56,135.8,154.0,56.1,96608,1441,2.7169,0.0000,2.7169,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q3,gpu,44,98.0000,98.0000,11.47,171,119,148.7,174.7,31.6,96372,1174,14.5725,0.0000,14.5725,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q5,gpu,100,36.0000,36.0000,8.84,132,61,145.5,149.9,93.1,96617,494,5.2363,0.0000,5.2363,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q6,gpu,97,45.0000,45.0000,10.06,151,81,146.1,150.5,95.0,96605,486,6.5730,0.0000,6.5730,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q7,gpu,56,79.0000,79.0000,11.54,172,117,146.9,166.8,41.8,96420,1031,11.6012,0.0000,11.6012,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q9,gpu,45,110.0000,110.0000,10.68,160,82,147.1,151.3,96.4,96377,416,16.1829,0.0000,16.1829,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q1,cpu,100,19.0000,19.0000,7.25,109,56,135.9,153.2,56.9,96608,1444,2.5817,0.0000,2.5817,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q3,cpu,48,106.0000,106.0000,12.26,184,130,148.9,171.7,31.3,96389,1167,15.7844,0.0000,15.7844,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q5,cpu,100,35.0000,35.0000,8.95,133,60,145.4,152.3,93.2,96616,531,5.0880,0.0000,5.0880,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q6,cpu,100,46.0000,46.0000,10.25,154,81,146.5,150.2,95.6,96621,475,6.7388,0.0000,6.7388,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q7,cpu,56,81.0000,81.0000,11.54,172,117,146.6,164.8,42.1,96423,1006,11.8721,0.0000,11.8721,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q9,cpu,45,110.0000,110.0000,10.69,161,82,147.0,151.2,96.0,96378,425,16.1743,0.0000,16.1743,OK
pl200w_smauto,200,auto,maximus,tpch,10,q1,gpu,100,47.2730,47.2730,8.49,125,111,174.5,184.0,97.6,48710,741,8.2483,0.0000,8.2483,OK
pl200w_smauto,200,auto,maximus,tpch,10,q3,gpu,100,15.7840,15.7840,5.81,84,72,180.0,189.6,96.0,48711,898,2.8405,0.0000,2.8405,OK
pl200w_smauto,200,auto,maximus,tpch,10,q6,gpu,100,10.1900,10.1900,4.52,66,53,186.3,203.2,96.1,48710,829,1.8989,0.0000,1.8989,OK
pl200w_smauto,200,auto,maximus,tpch,10,q9,gpu,100,41.9910,41.9910,8.87,127,111,176.5,189.0,97.4,48713,1111,7.4099,0.0000,7.4099,OK
