engine,benchmark,sf,query,storage,latency_ms,avg_gpu_power_w,avg_cpu_power_w,total_power_w,gpu_energy_j,total_energy_j,status
sirius,tpch,1,q17,gpu,27.0000,153.5,0.0,153.5,4.1445,4.1445,OK
sirius,tpch,1,q18,gpu,53.0000,276.0,0.0,276.0,14.6280,14.6280,OK
sirius,tpch,1,q19,gpu,9.0000,149.6,0.0,149.6,1.3464,1.3464,OK
sirius,tpch,1,q20,gpu,9.0000,125.2,0.0,125.2,1.1268,1.1268,OK
sirius,tpch,1,q21,gpu,3567.0000,309.4,0.0,309.4,1103.6298,1103.6298,OK
sirius,tpch,1,q22,gpu,7.0000,123.7,0.0,123.7,0.8659,0.8659,OK
sirius,tpch,1,q1,cpu,14.0000,196.1,0.0,196.1,2.7454,2.7454,OK
sirius,tpch,1,q2,cpu,22.0000,128.3,0.0,128.3,2.8226,2.8226,OK
sirius,tpch,1,q3,cpu,7.0000,132.0,0.0,132.0,0.9240,0.9240,OK
sirius,tpch,1,q4,cpu,6.0000,133.6,0.0,133.6,0.8016,0.8016,OK
sirius,tpch,1,q5,cpu,29.0000,161.3,0.0,161.3,4.6777,4.6777,OK
sirius,tpch,1,q6,cpu,2.0000,121.4,0.0,121.4,0.2428,0.2428,OK
sirius,tpch,1,q7,cpu,18.0000,119.7,0.0,119.7,2.1546,2.1546,OK
sirius,tpch,1,q8,cpu,16.0000,129.5,0.0,129.5,2.0720,2.0720,OK
sirius,tpch,1,q9,cpu,428.0000,161.4,0.0,161.4,69.0792,69.0792,OK
sirius,tpch,1,q10,cpu,21.0000,164.3,0.0,164.3,3.4503,3.4503,OK
sirius,tpch,1,q11,cpu,3.0000,121.2,0.0,121.2,0.3636,0.3636,OK
sirius,tpch,1,q12,cpu,7.0000,130.3,0.0,130.3,0.9121,0.9121,OK
sirius,tpch,1,q13,cpu,9.0000,156.5,0.0,156.5,1.4085,1.4085,OK
sirius,tpch,1,q14,cpu,4.0000,126.7,0.0,126.7,0.5068,0.5068,OK
sirius,tpch,1,q15,cpu,5.0000,126.1,0.0,126.1,0.6305,0.6305,OK
sirius,tpch,1,q16,cpu,16.0000,141.6,0.0,141.6,2.2656,2.2656,OK
sirius,tpch,1,q17,cpu,26.0000,153.6,0.0,153.6,3.9936,3.9936,OK
sirius,tpch,1,q18,cpu,53.0000,276.0,0.0,276.0,14.6280,14.6280,OK
sirius,tpch,1,q19,cpu,10.0000,134.7,0.0,134.7,1.3470,1.3470,OK
sirius,tpch,1,q20,cpu,9.0000,125.5,0.0,125.5,1.1295,1.1295,OK
sirius,tpch,1,q21,cpu,3574.0000,309.8,0.0,309.8,1107.2252,1107.2252,OK
sirius,tpch,1,q22,cpu,7.0000,124.0,0.0,124.0,0.8680,0.8680,OK
maximus,tpch,10,q1,gpu,27.8580,324.2,0.0,324.2,9.0316,9.0316,OK
maximus,tpch,10,q2,gpu,5.4730,194.3,0.0,194.3,1.0634,1.0634,OK
maximus,tpch,10,q3,gpu,10.2900,313.2,0.0,313.2,3.2228,3.2228,OK
maximus,tpch,10,q4,gpu,8.9390,311.7,0.0,311.7,2.7863,2.7863,OK
maximus,tpch,10,q5,gpu,18.8050,317.0,0.0,317.0,5.9612,5.9612,OK
maximus,tpch,10,q6,gpu,5.1400,303.7,0.0,303.7,1.5610,1.5610,OK
maximus,tpch,10,q7,gpu,11.7470,303.4,0.0,303.4,3.5640,3.5640,OK
maximus,tpch,10,q8,gpu,13.5520,304.0,0.0,304.0,4.1198,4.1198,OK
maximus,tpch,10,q9,gpu,25.7300,345.2,0.0,345.2,8.8820,8.8820,OK
maximus,tpch,10,q10,gpu,8.8520,315.9,0.0,315.9,2.7963,2.7963,OK
maximus,tpch,10,q11,gpu,12.1090,275.8,0.0,275.8,3.3397,3.3397,OK
maximus,tpch,10,q12,gpu,12.8040,311.2,0.0,311.2,3.9846,3.9846,OK
maximus,tpch,10,q13,gpu,110.6640,437.8,0.0,437.8,48.4487,48.4487,OK
