category,engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,status
full,maximus,tpch,10,q6,gpu,3,5.1400,5.1400,OK
full,maximus,tpch,10,q7,gpu,3,11.7470,11.7470,OK
full,maximus,tpch,10,q8,gpu,3,13.5520,13.5520,OK
full,maximus,tpch,10,q9,gpu,3,25.7300,25.7300,OK
full,maximus,tpch,10,q10,gpu,3,8.8520,8.8520,OK
full,maximus,tpch,10,q11,gpu,3,12.1090,12.1090,OK
full,maximus,tpch,10,q12,gpu,3,12.8040,12.8040,OK
full,maximus,tpch,10,q13,gpu,3,110.6640,110.4800,OK
full,maximus,tpch,10,q14,gpu,3,8.4430,8.4430,OK
full,maximus,tpch,10,q15,gpu,3,7.6070,7.6070,OK
full,maximus,tpch,10,q16,gpu,3,27.2310,27.1560,OK
full,maximus,tpch,10,q17,gpu,3,12.7240,12.7240,OK
full,maximus,tpch,10,q18,gpu,3,9.2430,9.2430,OK
full,maximus,tpch,10,q19,gpu,3,127.9980,127.9820,OK
full,maximus,tpch,10,q20,gpu,3,14.8290,14.8240,OK
full,maximus,tpch,10,q21,gpu,3,266.4400,266.4400,OK
full,maximus,tpch,10,q22,gpu,3,5.4450,5.4450,OK
full,maximus,tpch,10,q1,cpu,3,44.9420,44.9420,OK
full,maximus,tpch,10,q2,cpu,3,20.2380,20.2380,OK
full,maximus,tpch,10,q3,cpu,3,20.0140,19.5980,OK
full,maximus,tpch,10,q4,cpu,3,15.0430,15.0240,OK
full,maximus,tpch,10,q5,cpu,3,161.0490,161.0330,OK
full,maximus,tpch,10,q6,cpu,3,12.1440,12.1440,OK
full,maximus,tpch,10,q7,cpu,3,39.3690,39.2890,OK
full,maximus,tpch,10,q8,cpu,3,192.5770,192.5770,OK
full,maximus,tpch,10,q9,cpu,3,259.7430,259.7430,OK
full,maximus,tpch,10,q10,cpu,3,18.8990,18.6940,OK
full,maximus,tpch,10,q11,cpu,3,107.6070,107.5080,OK
full,maximus,tpch,10,q12,cpu,3,180.2100,179.7730,OK
full,maximus,tpch,10,q13,cpu,3,123.5530,123.5040,OK
full,maximus,tpch,10,q14,cpu,3,42.6930,42.4910,OK
full,maximus,tpch,10,q15,cpu,3,40.1450,40.1450,OK
full,maximus,tpch,10,q16,cpu,3,121.5100,121.5100,OK
full,maximus,tpch,10,q17,cpu,3,820.8450,820.8450,OK
full,maximus,tpch,10,q18,cpu,3,1033.9800,1033.9800,OK
full,maximus,tpch,10,q19,cpu,3,933.6550,933.6550,OK
full,maximus,tpch,10,q20,cpu,3,146.3570,145.7830,OK
full,maximus,tpch,10,q21,cpu,3,448.2990,448.2990,OK
full,maximus,tpch,10,q22,cpu,3,139.9300,139.8970,OK
full,sirius,tpch,10,q1,gpu,3,65.0000,65.0000,OK
full,sirius,tpch,10,q2,gpu,3,23.0000,21.0000,OK
full,sirius,tpch,10,q3,gpu,3,22.0000,22.0000,OK
full,sirius,tpch,10,q4,gpu,3,19.0000,19.0000,OK
full,sirius,tpch,10,q5,gpu,3,95.0000,94.0000,OK
full,sirius,tpch,10,q6,gpu,3,3.0000,3.0000,OK
full,sirius,tpch,10,q7,gpu,3,33.0000,33.0000,OK
full,sirius,tpch,10,q8,gpu,3,32.0000,32.0000,OK
full,sirius,tpch,10,q9,gpu,3,677.0000,672.0000,OK
full,sirius,tpch,10,q10,gpu,3,42.0000,41.0000,OK
full,sirius,tpch,10,q11,gpu,3,7.0000,6.0000,OK
full,sirius,tpch,10,q12,gpu,3,14.0000,14.0000,OK
full,sirius,tpch,10,q13,gpu,3,44.0000,44.0000,OK
full,sirius,tpch,10,q14,gpu,3,6.0000,6.0000,OK
full,sirius,tpch,10,q15,gpu,3,6.0000,6.0000,OK
full,sirius,tpch,10,q16,gpu,3,51.0000,51.0000,OK
full,sirius,tpch,10,q17,gpu,3,64.0000,63.0000,OK
full,sirius,tpch,10,q18,gpu,3,114.0000,114.0000,OK
full,sirius,tpch,10,q19,gpu,3,21.0000,21.0000,OK
full,sirius,tpch,10,q20,gpu,3,15.0000,15.0000,OK
full,sirius,tpch,10,q21,gpu,3,250.0000,250.0000,OK
full,sirius,tpch,10,q22,gpu,3,13.0000,13.0000,OK
full,sirius,tpch,10,q1,cpu,3,63.0000,63.0000,OK
full,sirius,tpch,10,q2,cpu,3,22.0000,22.0000,OK
full,sirius,tpch,10,q3,cpu,3,22.0000,21.0000,OK
full,sirius,tpch,10,q4,cpu,3,19.0000,19.0000,OK
full,sirius,tpch,10,q5,cpu,3,94.0000,94.0000,OK
full,sirius,tpch,10,q6,cpu,3,4.0000,3.0000,OK
full,sirius,tpch,10,q7,cpu,3,33.0000,33.0000,OK
full,sirius,tpch,10,q8,cpu,3,32.0000,32.0000,OK
full,sirius,tpch,10,q9,cpu,3,678.0000,662.0000,OK
full,sirius,tpch,10,q10,cpu,3,41.0000,41.0000,OK
full,sirius,tpch,10,q11,cpu,3,6.0000,6.0000,OK
full,sirius,tpch,10,q12,cpu,3,14.0000,14.0000,OK
full,sirius,tpch,10,q13,cpu,3,44.0000,44.0000,OK
full,sirius,tpch,10,q14,cpu,3,6.0000,6.0000,OK
