engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,all_ms,status
sirius,tpch,1,q16,gpu,3,17.0000,17.0000,17.0000;17.0000;17.0000,OK
sirius,tpch,1,q17,gpu,3,27.0000,27.0000,27.0000;28.0000;27.0000,OK
sirius,tpch,1,q18,gpu,3,53.0000,53.0000,54.0000;53.0000;53.0000,OK
sirius,tpch,1,q19,gpu,3,9.0000,9.0000,10.0000;9.0000;9.0000,OK
sirius,tpch,1,q20,gpu,3,9.0000,9.0000,9.0000;10.0000;9.0000,OK
sirius,tpch,1,q21,gpu,3,3567.0000,3567.0000,3579.0000;3571.0000;3567.0000,OK
sirius,tpch,1,q22,gpu,3,7.0000,7.0000,8.0000;7.0000;7.0000,OK
sirius,tpch,1,q1,cpu,3,14.0000,14.0000,14.0000;14.0000;14.0000,OK
sirius,tpch,1,q2,cpu,3,22.0000,22.0000,22.0000;22.0000;22.0000,OK
sirius,tpch,1,q3,cpu,3,7.0000,7.0000,7.0000;8.0000;7.0000,OK
sirius,tpch,1,q4,cpu,3,6.0000,6.0000,6.0000;6.0000;6.0000,OK
sirius,tpch,1,q5,cpu,3,29.0000,29.0000,29.0000;30.0000;29.0000,OK
sirius,tpch,1,q6,cpu,3,2.0000,2.0000,2.0000;2.0000;2.0000,OK
sirius,tpch,1,q7,cpu,3,18.0000,18.0000,18.0000;18.0000;18.0000,OK
sirius,tpch,1,q8,cpu,3,16.0000,16.0000,16.0000;16.0000;16.0000,OK
sirius,tpch,1,q9,cpu,3,428.0000,422.0000,423.0000;422.0000;428.0000,OK
sirius,tpch,1,q10,cpu,3,21.0000,21.0000,21.0000;21.0000;21.0000,OK
sirius,tpch,1,q11,cpu,3,3.0000,3.0000,3.0000;4.0000;3.0000,OK
sirius,tpch,1,q12,cpu,3,7.0000,7.0000,7.0000;7.0000;7.0000,OK
sirius,tpch,1,q13,cpu,3,9.0000,9.0000,10.0000;10.0000;9.0000,OK
sirius,tpch,1,q14,cpu,3,4.0000,3.0000,4.0000;3.0000;4.0000,OK
sirius,tpch,1,q15,cpu,3,5.0000,4.0000,5.0000;4.0000;5.0000,OK
sirius,tpch,1,q16,cpu,3,16.0000,16.0000,17.0000;17.0000;16.0000,OK
sirius,tpch,1,q17,cpu,3,26.0000,26.0000,27.0000;27.0000;26.0000,OK
sirius,tpch,1,q18,cpu,3,53.0000,53.0000,53.0000;53.0000;53.0000,OK
sirius,tpch,1,q19,cpu,3,10.0000,9.0000,10.0000;9.0000;10.0000,OK
sirius,tpch,1,q20,cpu,3,9.0000,9.0000,9.0000;9.0000;9.0000,OK
sirius,tpch,1,q21,cpu,3,3574.0000,3574.0000,3584.0000;3586.0000;3574.0000,OK
sirius,tpch,1,q22,cpu,3,7.0000,7.0000,7.0000;8.0000;7.0000,OK
maximus,tpch,10,q1,gpu,3,27.8580,27.8580,39.1500;27.9060;27.8580,OK
maximus,tpch,10,q2,gpu,3,5.4730,5.4730,28.3810;5.5600;5.4730,OK
maximus,tpch,10,q3,gpu,3,10.2900,10.2900,23.5320;10.3520;10.2900,OK
maximus,tpch,10,q4,gpu,3,8.9390,8.9390,26.6250;8.9460;8.9390,OK
maximus,tpch,10,q5,gpu,3,18.8050,18.8050,39.6200;18.9100;18.8050,OK
maximus,tpch,10,q6,gpu,3,5.1400,5.1400,7.2970;5.1570;5.1400,OK
maximus,tpch,10,q7,gpu,3,11.7470,11.7470,32.2590;11.7950;11.7470,OK
maximus,tpch,10,q8,gpu,3,13.5520,13.5520,38.6190;13.6650;13.5520,OK
maximus,tpch,10,q9,gpu,3,25.7300,25.7300,47.0170;25.8110;25.7300,OK
maximus,tpch,10,q10,gpu,3,8.8520,8.8520,26.7390;9.0030;8.8520,OK
maximus,tpch,10,q11,gpu,3,12.1090,12.1090,27.8850;12.2460;12.1090,OK
maximus,tpch,10,q12,gpu,3,12.8040,12.8040,31.4050;12.8360;12.8040,OK
maximus,tpch,10,q13,gpu,3,110.6640,110.4800,132.5650;110.4800;110.6640,OK
maximus,tpch,10,q14,gpu,3,8.4430,8.4430,18.8030;8.4430;8.4430,OK
maximus,tpch,10,q15,gpu,3,7.6070,7.6070,20.8470;7.7530;7.6070,OK
maximus,tpch,10,q16,gpu,3,27.2310,27.1560,47.2700;27.1560;27.2310,OK
