config,pl_w,sm_mhz,engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,all_ms,status
pl150w_smauto,150,auto,sirius,h2o,4gb,q5,cpu,3,39.0000,39.0000,46.0000;45.0000;39.0000,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q6,cpu,3,48.0000,48.0000,53.0000;56.0000;48.0000,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q7,cpu,3,99.0000,90.0000,90.0000;100.0000;99.0000,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q9,cpu,3,115.0000,112.0000,112.0000;118.0000;115.0000,OK
pl200w_smauto,200,auto,maximus,tpch,10,q1,gpu,3,50.0000,47.6990,74.5360;47.6990;50.0000,OK
pl200w_smauto,200,auto,maximus,tpch,10,q3,gpu,3,29.5520,15.6340,47.5590;15.6340;29.5520,OK
pl200w_smauto,200,auto,maximus,tpch,10,q6,gpu,3,15.1790,11.6900,25.9250;11.6900;15.1790,OK
pl200w_smauto,200,auto,maximus,tpch,10,q9,gpu,3,65.2890,41.3210,89.8160;41.3210;65.2890,OK
pl200w_smauto,200,auto,maximus,tpch,10,q13,gpu,3,194.5170,190.3520,193.0980;190.3520;194.5170,OK
pl200w_smauto,200,auto,maximus,tpch,10,q16,gpu,3,36.4790,34.1410,58.6730;34.1410;36.4790,OK
pl200w_smauto,200,auto,maximus,tpch,10,q1,cpu,3,49.2870,46.1070,62.0070;46.1070;49.2870,OK
pl200w_smauto,200,auto,maximus,tpch,10,q3,cpu,3,19.7050,19.7050,37.9540;19.7130;19.7050,OK
pl200w_smauto,200,auto,maximus,tpch,10,q6,cpu,3,12.3340,12.3340,15.5680;12.3470;12.3340,OK
pl200w_smauto,200,auto,maximus,tpch,10,q9,cpu,3,262.9420,262.6690,284.1120;262.6690;262.9420,OK
pl200w_smauto,200,auto,maximus,tpch,10,q13,cpu,3,177.3230,177.3230,194.5230;180.3150;177.3230,OK
pl200w_smauto,200,auto,maximus,tpch,10,q16,cpu,3,124.6220,124.6220,148.9400;124.9660;124.6220,OK
pl200w_smauto,200,auto,sirius,tpch,10,q1,gpu,3,112.0000,104.0000,113.0000;104.0000;112.0000,OK
pl200w_smauto,200,auto,sirius,tpch,10,q3,gpu,3,28.0000,27.0000,27.0000;28.0000;28.0000,OK
pl200w_smauto,200,auto,sirius,tpch,10,q6,gpu,3,4.0000,4.0000,5.0000;4.0000;4.0000,OK
pl200w_smauto,200,auto,sirius,tpch,10,q9,gpu,3,734.0000,727.0000,727.0000;736.0000;734.0000,OK
pl200w_smauto,200,auto,sirius,tpch,10,q13,gpu,3,82.0000,77.0000,77.0000;83.0000;82.0000,OK
pl200w_smauto,200,auto,sirius,tpch,10,q16,gpu,3,78.0000,78.0000,81.0000;85.0000;78.0000,OK
pl200w_smauto,200,auto,sirius,tpch,10,q1,cpu,3,98.0000,97.0000,99.0000;97.0000;98.0000,OK
pl200w_smauto,200,auto,sirius,tpch,10,q3,cpu,3,27.0000,27.0000,28.0000;28.0000;27.0000,OK
pl200w_smauto,200,auto,sirius,tpch,10,q6,cpu,3,4.0000,4.0000,4.0000;4.0000;4.0000,OK
pl200w_smauto,200,auto,sirius,tpch,10,q9,cpu,3,734.0000,721.0000,721.0000;732.0000;734.0000,OK
pl200w_smauto,200,auto,sirius,tpch,10,q13,cpu,3,82.0000,77.0000,78.0000;77.0000;82.0000,OK
pl200w_smauto,200,auto,sirius,tpch,10,q16,cpu,3,80.0000,80.0000,84.0000;86.0000;80.0000,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q1,gpu,3,23.1300,22.9740,59.6740;22.9740;23.1300,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q3,gpu,3,89.6790,87.0130,105.5450;87.0130;89.6790,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q5,gpu,3,19.0620,19.0620,44.8280;19.8250;19.0620,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q6,gpu,3,671.6650,664.0930,678.7180;664.0930;671.6650,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q7,gpu,3,72.8890,67.9260,91.8750;67.9260;72.8890,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q9,gpu,3,90.2720,82.5820,120.5160;82.5820;90.2720,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q1,cpu,3,152.9570,152.7970,162.6410;152.7970;152.9570,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q3,cpu,3,359.2830,359.2830,371.2540;361.2240;359.2830,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q5,cpu,3,217.0620,216.2500,233.3800;216.2500;217.0620,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q6,cpu,3,769.2220,769.2220,793.5030;776.5180;769.2220,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q7,cpu,3,302.4520,293.8540,311.9390;293.8540;302.4520,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q9,cpu,3,77.9040,75.1920,100.6760;75.1920;77.9040,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q1,gpu,3,18.0000,16.0000,16.0000;16.0000;18.0000,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q3,gpu,3,112.0000,109.0000,109.0000;111.0000;112.0000,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q5,gpu,3,23.0000,23.0000,23.0000;25.0000;23.0000,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q6,gpu,3,33.0000,33.0000,33.0000;34.0000;33.0000,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q7,gpu,3,80.0000,78.0000,78.0000;80.0000;80.0000,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q9,gpu,3,75.0000,73.0000,73.0000;73.0000;75.0000,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q1,cpu,3,17.0000,16.0000,16.0000;16.0000;17.0000,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q3,cpu,3,123.0000,122.0000,123.0000;122.0000;123.0000,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q5,cpu,3,25.0000,21.0000,21.0000;25.0000;25.0000,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q6,cpu,3,33.0000,31.0000,31.0000;34.0000;33.0000,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q7,cpu,3,81.0000,81.0000,90.0000;91.0000;81.0000,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q9,cpu,3,73.0000,73.0000,76.0000;74.0000;73.0000,OK
pl250w_smauto,250,auto,maximus,tpch,10,q1,gpu,3,34.5010,33.8150,57.4810;33.8150;34.5010,OK
pl250w_smauto,250,auto,maximus,tpch,10,q3,gpu,3,14.7300,13.9760,41.7490;13.9760;14.7300,OK
pl250w_smauto,250,auto,maximus,tpch,10,q6,gpu,3,8.2020,7.8100,10.0460;7.8100;8.2020,OK
pl250w_smauto,250,auto,maximus,tpch,10,q9,gpu,3,35.0530,32.0740,74.7910;32.0740;35.0530,OK
pl250w_smauto,250,auto,maximus,tpch,10,q13,gpu,3,159.3410,151.8260,166.0020;151.8260;159.3410,OK
pl250w_smauto,250,auto,maximus,tpch,10,q16,gpu,3,30.1240,29.8570,52.5400;29.8570;30.1240,OK
pl250w_smauto,250,auto,maximus,tpch,10,q1,cpu,3,45.2870,45.0630,61.6080;45.0630;45.2870,OK
pl250w_smauto,250,auto,maximus,tpch,10,q3,cpu,3,19.8540,19.7290,41.6500;19.7290;19.8540,OK
pl250w_smauto,250,auto,maximus,tpch,10,q6,cpu,3,12.3460,12.2820,15.5620;12.2820;12.3460,OK
