benchmark,sf,query,n_reps,min_ms,avg_ms,all_ms,status
microbench_tpch,1,w6_026,5,9.8970,12.1318,20.7550;9.9220;9.9330;10.1520;9.8970,OK
microbench_tpch,1,w6_031,5,5.5110,7.5736,15.7190;5.5470;5.5470;5.5440;5.5110,OK
microbench_tpch,1,w6_032,5,3.7190,5.9936,15.0560;3.7490;3.7190;3.7220;3.7220,OK
microbench_tpch,1,w6_046,5,10.4880,12.7894,21.6380;10.7680;10.5370;10.4880;10.5160,OK
microbench_tpch,1,w6_060,5,14.4340,16.6516,25.2700;14.4490;14.4690;14.6360;14.4340,OK
microbench_tpch,5,w1_002,5,2.3160,2.7494,4.4160;2.3410;2.3410;2.3160;2.3330,OK
microbench_tpch,5,w1_004,5,0.3420,0.3742,0.4520;0.3420;0.3430;0.3640;0.3700,OK
microbench_tpch,5,w1_005,5,7.9570,7.9902,8.0660;7.9660;7.9910;7.9710;7.9570,OK
microbench_tpch,5,w1_006,5,7.9600,8.3262,9.7190;7.9790;7.9600;7.9900;7.9830,OK
microbench_tpch,5,w1_007,5,16.1810,16.5708,18.0800;16.1870;16.2210;16.1850;16.1810,OK
microbench_tpch,5,w1_008,5,8.2170,8.3790,8.9870;8.2170;8.2230;8.2420;8.2260,OK
microbench_tpch,5,w1_011,5,31.0260,31.0600,31.0380;31.0900;31.0440;31.0260;31.1020,OK
microbench_tpch,5,w2_003,5,1.0600,1.2806,2.0410;1.0910;1.1000;1.1110;1.0600,OK
microbench_tpch,5,w2_012,5,0.7780,0.7928,0.7990;0.8100;0.7910;0.7780;0.7860,OK
microbench_tpch,5,w2_013,5,3.3870,3.3990,3.3990;3.3920;3.3870;3.4220;3.3950,OK
microbench_tpch,5,w2_014,5,5.3100,5.3288,5.3440;5.3310;5.3170;5.3100;5.3420,OK
microbench_tpch,5,w2_015,5,1.1460,1.6840,3.7750;1.1870;1.1640;1.1460;1.1480,OK
microbench_tpch,5,w2_016,5,2.8610,2.8682,2.8670;2.8610;2.8620;2.8740;2.8770,OK
microbench_tpch,5,w2_017,5,7.6590,7.6736,7.6820;7.6590;7.6630;7.6880;7.6760,OK
microbench_tpch,5,w3_001,5,0.3720,1.5878,5.9950;0.7690;0.4260;0.3720;0.3770,OK
microbench_tpch,5,w3_009,5,1.0110,1.0164,1.0140;1.0270;1.0170;1.0110;1.0130,OK
microbench_tpch,5,w3_010,5,0.7670,0.7716,0.7670;0.7780;0.7750;0.7680;0.7700,OK
microbench_tpch,5,w3_023,5,2.9290,2.9550,2.9450;2.9490;2.9810;2.9710;2.9290,OK
microbench_tpch,5,w3_024,5,3.7890,3.7974,3.7980;3.8010;3.8070;3.7890;3.7920,OK
