run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf1gb_q1,h2o,1gb,q1,40002,0.0020,0.0029,23.81,293,258,42.9,48.9,15841,2.0,14,0.09,108.2,1.8,0.22,OK
h2o_sf1gb_q10,h2o,1gb,q10,14290,0.0070,0.0081,21.82,266,261,47.7,73.9,15827,5.0,77,0.33,111.6,1.9,0.78,OK
h2o_sf1gb_q2,h2o,1gb,q2,25000,0.0030,0.0039,20.64,251,204,44.0,53.0,15821,4.1,57,0.13,111.9,1.9,0.34,OK
h2o_sf1gb_q3,h2o,1gb,q3,25000,0.0040,0.0046,20.39,251,208,45.1,57.0,15799,7.0,73,0.18,113.1,1.8,0.45,OK
h2o_sf1gb_q4,h2o,1gb,q4,33335,0.0020,0.0031,20.51,250,206,43.5,50.1,15813,5.1,55,0.09,109.8,1.8,0.22,OK
h2o_sf1gb_q5,h2o,1gb,q5,20000,0.0040,0.0046,20.18,246,151,44.9,56.6,15833,4.8,67,0.18,110.2,1.9,0.44,OK
h2o_sf1gb_q6,h2o,1gb,q6,20000,0.0050,0.0053,20.22,247,158,45.4,57.4,15835,12.0,66,0.23,110.2,1.8,0.55,OK
h2o_sf1gb_q7,h2o,1gb,q7,40002,0.0030,0.0034,23.86,290,243,45.1,55.3,15811,10.4,68,0.14,108.1,1.8,0.32,OK
h2o_sf1gb_q8,h2o,1gb,q8,12500,0.0080,0.0082,20.59,250,211,47.2,62.8,15837,7.5,71,0.38,109.0,1.9,0.87,OK
h2o_sf1gb_q9,h2o,1gb,q9,8335,0.0110,0.0118,21.73,265,217,50.1,77.0,15829,13.1,78,0.55,108.4,1.8,1.19,OK
